Player,Team,Season,PPG,RPG,APG,Win%,MVP
Andrew Bynum,LAL,11/12,18.7,11.8,1.4,0.621,0
Danny Granger,IND,11/12,18.7,5.0,1.8,0.636,0
Marcus Thornton,SAC,11/12,18.7,3.7,1.9,0.333,0
Kyrie Irving,CLE,11/12,18.5,3.7,5.4,0.318,0
DeMarcus Cousins,SAC,11/12,18.1,11.0,1.6,0.333,0
Chris Bosh,MIA,11/12,18.0,7.9,1.8,0.697,0
Amar'e Stoudemire,NYK,11/12,17.5,7.8,1.1,0.545,0
Pau Gasol,LAL,11/12,17.4,10.4,3.6,0.621,0
Antawn Jamison,CLE,11/12,17.2,6.3,2.0,0.318,0
Kevin Martin,HOU,11/12,17.1,2.6,2.8,0.515,0
James Harden,OKC,11/12,16.8,4.1,3.7,0.712,0
DeMar DeRozan,TOR,11/12,16.7,3.3,2.0,0.348,0
Paul Millsap,UTA,11/12,16.6,8.8,2.3,0.545,0
Tyreke Evans,SAC,11/12,16.5,4.6,4.5,0.333,0
Ty Lawson,DEN,11/12,16.4,3.7,6.6,0.576,0
John Wall,WAS,11/12,16.3,4.5,8.0,0.303,0
Ryan Anderson,ORL,11/12,16.1,7.7,0.9,0.561,0
Kevin Garnett,BOS,11/12,15.8,8.2,2.9,0.591,0
Jarrett Jack,NOH,11/12,15.6,3.9,6.3,0.318,0
Luis Scola,HOU,11/12,15.5,6.5,2.1,0.515,0
Marcin Gortat,PHO,11/12,15.4,10.0,0.9,0.5,0
Greg Monroe,DET,11/12,15.4,9.7,2.3,0.379,0
Luol Deng,CHI,11/12,15.3,6.5,2.9,0.758,0
Arron Afflalo,DEN,11/12,15.2,3.2,2.4,0.576,0
Gerald Henderson,CHO,11/12,15.1,4.1,2.3,0.106,0
Jason Terry,DAL,11/12,15.1,2.4,3.6,0.545,0
Carlos Boozer,CHI,11/12,15.0,8.5,1.9,0.758,0
Corey Maggette,CHO,11/12,15.0,3.9,1.2,0.106,0
Chauncey Billups,LAC,11/12,15.0,2.5,4.0,0.606,0
Lou Williams,PHI,11/12,14.9,2.4,3.5,0.53,0
Rodney Stuckey,DET,11/12,14.8,2.6,3.8,0.379,0
Stephen Curry,GSW,11/12,14.7,3.4,5.3,0.348,0
Jordan Crawford,WAS,11/12,14.7,2.6,3.0,0.303,0
Marc Gasol,MEM,11/12,14.6,8.9,3.1,0.621,0
Jeremy Lin,NYK,11/12,14.6,3.1,6.2,0.545,0
Danilo Gallinari,DEN,11/12,14.6,4.7,2.7,0.576,0
Kyle Lowry,HOU,11/12,14.3,4.5,6.6,0.515,0
Ray Allen,BOS,11/12,14.2,3.1,2.4,0.591,0
Al Harrington,DEN,11/12,14.2,6.1,1.4,0.576,0
Jamal Crawford,POR,11/12,14.0,2.0,3.2,0.424,0
Nicolas Batum,POR,11/12,13.9,4.6,1.4,0.424,0
Nikola Peković,MIN,11/12,13.9,7.4,0.7,0.394,0
Kris Humphries,NJN,11/12,13.8,11.0,1.5,0.333,0
Wesley Matthews,POR,11/12,13.7,3.4,1.7,0.424,0
Drew Gooden,MIL,11/12,13.7,6.5,2.6,0.47,0
Jrue Holiday,PHI,11/12,13.5,3.3,4.5,0.53,0
Mo Williams,LAC,11/12,13.2,1.9,3.1,0.606,0
Chris Kaman,NOH,11/12,13.1,7.7,2.1,0.318,0
Ersan İlyasova,MIL,11/12,13.0,8.8,1.2,0.47,0
Manu Ginóbili,SAS,11/12,12.9,3.4,4.4,0.758,0
Gerald Green,NJN,11/12,12.9,3.5,1.1,0.333,0
Brandon Knight,DET,11/12,12.8,3.2,3.8,0.379,0
Roy Hibbert,IND,11/12,12.8,8.8,1.7,0.636,0
Thaddeus Young,PHI,11/12,12.8,5.2,1.2,0.53,0
David West,IND,11/12,12.8,6.6,2.1,0.636,0
Mike Conley,MEM,11/12,12.7,2.5,6.5,0.621,0
Tayshaun Prince,DET,11/12,12.7,4.5,2.4,0.379,0
Jared Dudley,PHO,11/12,12.7,4.6,1.7,0.5,0
MarShon Brooks,NJN,11/12,12.6,3.6,2.3,0.333,0
O.J. Mayo,MEM,11/12,12.6,3.2,2.6,0.621,0
Jeff Teague,ATL,11/12,12.6,2.4,4.9,0.606,0
Klay Thompson,GSW,11/12,12.5,2.4,2.0,0.348,0
Brandon Bass,BOS,11/12,12.5,6.2,0.9,0.591,0
Carl Landry,NOH,11/12,12.5,5.2,0.9,0.318,0
Ben Gordon,DET,11/12,12.5,2.3,2.4,0.379,0
J.R. Smith,NYK,11/12,12.5,3.9,2.4,0.545,0
Andre Iguodala,PHI,11/12,12.4,6.1,5.5,0.53,0
Al Horford,ATL,11/12,12.4,7.0,2.2,0.606,0
Mike Dunleavy,MIL,11/12,12.3,3.7,2.1,0.47,0
Kemba Walker,CHO,11/12,12.1,3.5,4.4,0.106,0
Paul George,IND,11/12,12.1,5.6,2.4,0.636,0
Luke Ridnour,MIN,11/12,12.1,2.7,4.8,0.394,0
Anthony Morrow,NJN,11/12,12.0,2.0,1.0,0.333,0
Caron Butler,LAC,11/12,12.0,3.7,1.2,0.606,0
Jameer Nelson,ORL,11/12,11.9,3.2,5.7,0.561,0
Gordon Hayward,UTA,11/12,11.8,3.5,3.1,0.545,0
Marco Belinelli,NOH,11/12,11.8,2.6,1.5,0.318,0
Goran Dragić,HOU,11/12,11.7,2.5,5.3,0.515,0
Jason Richardson,ORL,11/12,11.6,3.6,2.0,0.561,0
Richard Hamilton,CHI,11/12,11.6,2.4,3.0,0.758,0
Zach Randolph,MEM,11/12,11.6,8.0,1.7,0.621,0
JJ Redick,ORL,11/12,11.6,2.3,2.5,0.561,0
Isaiah Thomas,SAC,11/12,11.5,2.6,4.1,0.333,0
Michael Beasley,MIN,11/12,11.5,4.4,1.0,0.394,0
Raymond Felton,POR,11/12,11.4,2.5,6.5,0.424,0
Jerryd Bayless,TOR,11/12,11.4,2.1,3.8,0.348,0
Courtney Lee,HOU,11/12,11.4,2.7,1.5,0.515,0
Devin Harris,UTA,11/12,11.3,1.8,5.0,0.545,0
Andrew Bogut,MIL,11/12,11.3,8.3,2.6,0.47,0
J.J. Barea,MIN,11/12,11.3,2.8,5.7,0.394,0
Tyson Chandler,NYK,11/12,11.3,9.9,0.9,0.545,0
Nate Robinson,GSW,11/12,11.2,2.0,4.5,0.348,0
D.J. Augustin,CHO,11/12,11.1,2.3,6.4,0.106,0
Shannon Brown,PHO,11/12,11.0,2.7,1.2,0.5,0
Elton Brand,PHI,11/12,11.0,7.2,1.6,0.53,0
Randy Foye,LAC,11/12,11.0,2.1,2.2,0.606,0
Hedo Türkoğlu,ORL,11/12,10.9,3.8,4.4,0.561,0
Anderson Varejão,CLE,11/12,10.8,11.5,1.7,0.318,0
Trevor Ariza,NOH,11/12,10.8,5.2,3.3,0.318,0
Shawn Marion,DAL,11/12,10.6,7.4,2.1,0.545,0
Ricky Rubio,MIN,11/12,10.6,4.2,8.2,0.394,0
Alonzo Gee,CLE,11/12,10.6,5.1,1.8,0.318,0
Channing Frye,PHO,11/12,10.5,5.9,1.4,0.5,0
José Calderón,TOR,11/12,10.5,3.0,8.8,0.348,0
Jordan Farmar,NJN,11/12,10.4,1.6,3.3,0.333,0
Darren Collison,IND,11/12,10.4,3.1,4.8,0.636,0
Patty Mills,SAS,11/12,10.3,1.8,2.4,0.758,0
Dorell Wright,GSW,11/12,10.3,4.6,1.5,0.348,0
Kenneth Faried,DEN,11/12,10.2,7.7,0.8,0.576,0
Joakim Noah,CHI,11/12,10.2,9.8,2.5,0.758,0
Grant Hill,PHO,11/12,10.2,3.5,2.2,0.5,0
Marvin Williams,ATL,11/12,10.2,5.2,1.2,0.606,0
Vince Carter,DAL,11/12,10.1,3.4,2.3,0.545,0
Gary Neal,SAS,11/12,9.9,2.1,2.1,0.758,0
Jason Smith,NOH,11/12,9.9,4.9,0.8,0.318,0
Emeka Okafor,NOH,11/12,9.9,7.9,0.9,0.318,0
Mario Chalmers,MIA,11/12,9.8,2.7,3.5,0.697,0
Tony Allen,MEM,11/12,9.8,4.0,1.4,0.621,0
Brandon Rush,GSW,11/12,9.8,3.9,1.4,0.348,0
Andre Miller,DEN,11/12,9.7,3.3,6.7,0.576,0
C.J. Watson,CHI,11/12,9.7,2.1,4.1,0.758,0
Linas Kleiza,TOR,11/12,9.7,4.1,0.9,0.348,0
Chase Budinger,HOU,11/12,9.6,3.7,1.3,0.515,0
George Hill,IND,11/12,9.6,3.0,2.9,0.636,0
Spencer Hawes,PHI,11/12,9.6,7.3,2.6,0.53,0
Alan Anderson,TOR,11/12,9.6,2.0,1.5,0.348,0
Delonte West,DAL,11/12,9.6,2.3,3.2,0.545,0
DeJuan Blair,SAS,11/12,9.5,5.5,1.2,0.758,0
Iman Shumpert,NYK,11/12,9.5,3.2,2.8,0.545,0
Chandler Parsons,HOU,11/12,9.5,4.8,2.1,0.515,0
Evan Turner,PHI,11/12,9.4,5.8,2.8,0.53,0
Wilson Chandler,DEN,11/12,9.4,5.1,2.1,0.576,0
Byron Mullens,CHO,11/12,9.3,5.0,0.9,0.106,0
Tiago Splitter,SAS,11/12,9.3,5.2,1.1,0.758,0
Tyler Hansbrough,IND,11/12,9.3,4.4,0.5,0.636,0
Cartier Martin,WAS,11/12,9.3,3.4,0.6,0.303,0
Glen Davis,ORL,11/12,9.3,5.4,0.8,0.561,0
Danny Green,SAS,11/12,9.1,3.5,1.3,0.758,0
Serge Ibaka,OKC,11/12,9.1,7.5,0.4,0.712,0
James Johnson,TOR,11/12,9.1,4.7,2.0,0.348,0
Jason Thompson,SAC,11/12,9.1,6.9,1.2,0.333,0
C.J. Miles,UTA,11/12,9.1,2.1,1.2,0.545,0
Carlos Delfino,MIL,11/12,9.0,3.9,2.3,0.47,0
Greivis Vásquez,NOH,11/12,8.9,2.6,5.4,0.318,0
Rodrigue Beaubois,DAL,11/12,8.9,2.8,2.9,0.545,0
Corey Brewer,DEN,11/12,8.9,2.5,1.5,0.576,0
Steve Novak,NYK,11/12,8.8,1.9,0.2,0.545,0
Derrick Williams,MIN,11/12,8.8,4.7,0.6,0.394,0
Landry Fields,NYK,11/12,8.8,4.2,2.6,0.545,0
Derrick Favors,UTA,11/12,8.8,6.5,0.7,0.545,0
Marreese Speights,MEM,11/12,8.8,6.2,0.8,0.621,0
Jonas Jerebko,DET,11/12,8.7,4.8,0.7,0.379,0
Josh Howard,UTA,11/12,8.7,3.7,1.2,0.545,0
Rudy Fernández,DEN,11/12,8.6,2.1,2.4,0.576,0
Andray Blatche,WAS,11/12,8.5,5.8,1.1,0.303,0
Jodie Meeks,PHI,11/12,8.4,2.4,0.8,0.53,0
Trevor Booker,WAS,11/12,8.4,6.5,0.8,0.303,0
Reggie Williams,CHO,11/12,8.3,2.8,1.8,0.106,0
Tristan Thompson,CLE,11/12,8.2,6.5,0.4,0.318,0
Michael Redd,PHO,11/12,8.2,1.5,0.6,0.5,0
James Singleton,WAS,11/12,8.2,6.8,1.2,0.303,0
Kevin Durant,OKC,14/15,25.4,6.6,4.1,0.549,0
Carmelo Anthony,NYK,14/15,24.2,6.6,3.0,0.207,0
DeMarcus Cousins,SAC,14/15,24.1,12.7,3.6,0.354,0
Kobe Bryant,LAL,14/15,22.3,5.7,5.6,0.256,0
Kyrie Irving,CLE,14/15,21.7,3.2,5.2,0.646,0
Dwyane Wade,MIA,14/15,21.5,3.5,4.8,0.451,0
Chris Bosh,MIA,14/15,21.1,7.0,2.2,0.451,0
Rudy Gay,SAC,14/15,21.1,5.9,3.7,0.354,0
Damian Lillard,POR,14/15,21.0,4.6,6.2,0.622,0
DeMar DeRozan,TOR,14/15,20.1,4.6,3.5,0.598,0
Jimmy Butler,CHI,14/15,20.0,5.8,3.3,0.61,0
Kevin Martin,MIN,14/15,20.0,3.6,2.3,0.195,0
Nikola Vučević,ORL,14/15,19.3,10.9,2.0,0.305,0
Gordon Hayward,UTA,14/15,19.3,4.9,4.1,0.463,0
Monta Ellis,DAL,14/15,18.9,2.4,4.1,0.61,0
Pau Gasol,CHI,14/15,18.5,11.8,2.7,0.61,0
Victor Oladipo,ORL,14/15,17.9,4.2,4.1,0.305,0
Kyle Lowry,TOR,14/15,17.8,4.7,6.8,0.598,0
Derrick Rose,CHI,14/15,17.7,3.2,4.9,0.61,0
John Wall,WAS,14/15,17.6,4.6,10.0,0.561,0
Kemba Walker,CHO,14/15,17.3,3.5,5.1,0.402,0
Dirk Nowitzki,DAL,14/15,17.3,5.9,1.9,0.61,0
Brook Lopez,BRK,14/15,17.2,7.4,0.7,0.463,0
Tobias Harris,ORL,14/15,17.1,6.3,1.8,0.305,0
Eric Bledsoe,PHO,14/15,17.0,5.2,6.1,0.476,0
Andrew Wiggins,MIN,14/15,16.9,4.6,2.1,0.195,0
Tony Wroten,PHI,14/15,16.9,2.9,5.2,0.22,0
Paul Millsap,ATL,14/15,16.7,7.8,3.1,0.732,0
Al Jefferson,CHO,14/15,16.6,8.4,1.7,0.402,0
Tyreke Evans,NOP,14/15,16.6,5.3,6.6,0.549,0
Kevin Love,CLE,14/15,16.4,9.7,2.2,0.646,0
JJ Redick,LAC,14/15,16.4,2.1,1.8,0.683,0
Darren Collison,SAC,14/15,16.1,3.2,5.6,0.354,0
Zach Randolph,MEM,14/15,16.1,10.5,2.2,0.671,0
George Hill,IND,14/15,16.1,4.2,5.1,0.463,0
Derrick Favors,UTA,14/15,16.0,8.2,1.5,0.463,0
Wesley Matthews,POR,14/15,15.9,3.7,2.3,0.622,0
Jeff Teague,ATL,14/15,15.9,2.5,7.0,0.732,0
Greg Monroe,DET,14/15,15.9,10.2,2.1,0.39,0
Mike Conley,MEM,14/15,15.8,3.0,5.4,0.671,0
Jamal Crawford,LAC,14/15,15.8,1.9,2.5,0.683,0
Dwight Howard,HOU,14/15,15.8,10.5,1.2,0.683,0
Chandler Parsons,DAL,14/15,15.7,4.9,2.4,0.61,0
Lou Williams,TOR,14/15,15.5,1.9,2.0,0.598,0
Brandon Jennings,DET,14/15,15.4,2.5,6.6,0.39,0
Markieff Morris,PHO,14/15,15.3,6.2,2.3,0.476,0
Bradley Beal,WAS,14/15,15.3,3.8,3.1,0.561,0
Ty Lawson,DEN,14/15,15.2,3.1,9.6,0.366,0
Al Horford,ATL,14/15,15.2,7.2,3.2,0.732,0
Andrea Bargnani,NYK,14/15,14.8,4.4,1.6,0.207,0
Jrue Holiday,NOP,14/15,14.8,3.4,6.8,0.549,0
Joe Johnson,BRK,14/15,14.4,4.8,3.6,0.463,0
Tony Parker,SAS,14/15,14.4,1.9,4.9,0.671,0
Serge Ibaka,OKC,14/15,14.3,7.8,0.9,0.549,0
Luol Deng,MIA,14/15,14.0,5.2,1.9,0.451,0
Wilson Chandler,DEN,14/15,13.9,6.1,1.7,0.366,0
Avery Bradley,BOS,14/15,13.9,3.1,1.8,0.488,0
Alec Burks,UTA,14/15,13.9,4.2,3.0,0.463,0
Andre Drummond,DET,14/15,13.8,13.5,0.7,0.39,0
Ryan Anderson,NOP,14/15,13.7,4.8,0.9,0.549,0
Shabazz Muhammad,MIN,14/15,13.5,4.1,1.2,0.195,0
Robert Covington,PHI,14/15,13.5,4.5,1.5,0.22,0
C.J. Miles,IND,14/15,13.5,3.1,1.1,0.463,0
Eric Gordon,NOP,14/15,13.4,2.6,3.8,0.549,0
Nick Young,LAL,14/15,13.4,2.3,1.0,0.256,0
Khris Middleton,MIL,14/15,13.4,4.4,2.3,0.5,0
Jared Sullinger,BOS,14/15,13.3,7.6,2.3,0.488,0
Deron Williams,BRK,14/15,13.0,3.5,6.6,0.463,0
Trey Burke,UTA,14/15,12.8,2.7,4.3,0.463,0
Trevor Ariza,HOU,14/15,12.8,5.6,2.5,0.683,0
Kentavious Caldwell-Pope,DET,14/15,12.7,3.1,1.3,0.39,0
Giannis Antetokounmpo,MIL,14/15,12.7,6.7,2.6,0.5,0
Rodney Stuckey,IND,14/15,12.6,3.5,3.1,0.463,0
DeMarre Carroll,ATL,14/15,12.6,5.3,1.7,0.732,0
Kenneth Faried,DEN,14/15,12.6,8.9,1.2,0.366,0
Nikola Peković,MIN,14/15,12.5,7.5,0.9,0.195,0
Danilo Gallinari,DEN,14/15,12.4,3.7,1.4,0.366,0
Jabari Parker,MIL,14/15,12.3,5.5,1.7,0.5,0
Marcin Gortat,WAS,14/15,12.2,8.7,1.2,0.561,0
Kyle Korver,ATL,14/15,12.1,4.1,2.6,0.732,0
Ben McLemore,SAC,14/15,12.1,2.9,1.7,0.354,0
Gerald Henderson,CHO,14/15,12.1,3.4,2.6,0.402,0
Donatas Motiejūnas,HOU,14/15,12.0,5.9,1.8,0.683,0
Jonas Valančiūnas,TOR,14/15,12.0,8.7,0.5,0.598,0
Evan Fournier,ORL,14/15,12.0,2.6,2.1,0.305,0
Jordan Hill,LAL,14/15,12.0,7.9,1.5,0.256,0
Jarrett Jack,BRK,14/15,12.0,3.1,4.7,0.463,0
Jabari Brown,LAL,14/15,11.9,1.9,2.1,0.256,0
Gerald Green,PHO,14/15,11.9,2.5,1.2,0.476,0
Jordan Clarkson,LAL,14/15,11.9,3.2,3.5,0.256,0
Paul Pierce,WAS,14/15,11.9,4.0,2.0,0.561,0
Langston Galloway,NYK,14/15,11.8,4.2,3.3,0.207,0
Carlos Boozer,LAL,14/15,11.8,6.8,1.3,0.256,0
Hassan Whiteside,MIA,14/15,11.8,10.0,0.1,0.451,0
Terrence Jones,HOU,14/15,11.7,6.7,1.1,0.683,0
Danny Green,SAS,14/15,11.7,4.2,2.0,0.671,0
Draymond Green,GSW,14/15,11.7,8.2,3.7,0.817,0
David West,IND,14/15,11.7,6.8,3.4,0.463,0
Aaron Brooks,CHI,14/15,11.6,2.0,3.2,0.61,0
DeAndre Jordan,LAC,14/15,11.5,15.0,0.7,0.683,0
Ersan İlyasova,MIL,14/15,11.5,4.8,1.0,0.5,0
Tim Hardaway Jr.,NYK,14/15,11.5,2.2,1.8,0.207,0
O.J. Mayo,MIL,14/15,11.4,2.6,2.8,0.5,0
Jeremy Lin,LAL,14/15,11.2,2.6,4.6,0.256,0
Jodie Meeks,DET,14/15,11.1,1.7,1.3,0.39,0
Vander Blue,LAL,14/15,11.0,4.5,4.0,0.256,0
Nenê,WAS,14/15,11.0,5.1,1.8,0.561,0
Michael Kidd-Gilchrist,CHO,14/15,10.9,7.6,1.4,0.402,0
Anthony Morrow,OKC,14/15,10.7,2.6,0.8,0.549,0
Brandon Bass,BOS,14/15,10.6,4.9,1.3,0.488,0
Roy Hibbert,IND,14/15,10.6,7.1,1.1,0.463,0
Manu Ginóbili,SAS,14/15,10.5,3.0,4.2,0.671,0
Marcus Morris,PHO,14/15,10.4,4.8,1.6,0.476,0
Marreese Speights,GSW,14/15,10.4,4.3,0.9,0.817,0
Taj Gibson,CHI,14/15,10.3,6.4,1.1,0.61,0
Tyson Chandler,DAL,14/15,10.3,11.5,1.1,0.61,0
Ricky Rubio,MIN,14/15,10.3,5.7,8.8,0.195,0
Kelly Olynyk,BOS,14/15,10.3,4.7,1.7,0.488,0
Mario Chalmers,MIA,14/15,10.2,2.6,3.8,0.451,0
Nikola Mirotić,CHI,14/15,10.2,4.9,1.2,0.61,0
Tyler Zeller,BOS,14/15,10.2,5.7,1.4,0.488,0
Patrick Beverley,HOU,14/15,10.1,4.2,3.4,0.683,0
Zach LaVine,MIN,14/15,10.1,2.8,3.6,0.195,0
Courtney Lee,MEM,14/15,10.1,2.3,2.0,0.671,0
Harrison Barnes,GSW,14/15,10.1,5.5,1.4,0.817,0
Matt Barnes,LAC,14/15,10.1,4.0,1.5,0.683,0
Wayne Ellington,LAL,14/15,10.0,3.2,1.6,0.256,0
C.J. Watson,IND,14/15,10.0,2.9,3.6,0.463,0
Dennis Schröder,ATL,14/15,10.0,2.1,4.1,0.732,0
Nerlens Noel,PHI,14/15,9.9,8.1,1.7,0.22,0
Wesley Johnson,LAL,14/15,9.9,4.2,1.6,0.256,0
Luc Mbah a Moute,PHI,14/15,9.9,4.9,1.6,0.22,0
Terrence Ross,TOR,14/15,9.8,2.8,1.0,0.598,0
Anderson Varejão,CLE,14/15,9.8,6.5,1.3,0.646,0
Gorgui Dieng,MIN,14/15,9.7,8.3,2.0,0.195,0
Robin Lopez,POR,14/15,9.6,6.7,0.9,0.622,0
Evan Turner,BOS,14/15,9.5,5.1,5.5,0.488,0
Greivis Vásquez,TOR,14/15,9.5,2.6,3.7,0.598,0
Mike Dunleavy,CHI,14/15,9.4,3.9,1.8,0.61,0
Luis Scola,IND,14/15,9.4,6.5,1.3,0.463,0
Nicolas Batum,POR,14/15,9.4,5.9,4.8,0.622,0
Amir Johnson,TOR,14/15,9.3,6.1,1.6,0.598,0
Marco Belinelli,SAS,14/15,9.2,2.5,1.5,0.671,0
P.J. Tucker,PHO,14/15,9.1,6.4,1.6,0.476,0
José Calderón,NYK,14/15,9.1,3.0,4.7,0.207,0
Jason Richardson,PHI,14/15,9.1,3.5,2.0,0.22,0
Bojan Bogdanović,BRK,14/15,9.0,2.7,0.9,0.463,0
Elfrid Payton,ORL,14/15,8.9,4.3,6.5,0.305,0
Solomon Hill,IND,14/15,8.9,3.8,2.2,0.463,0
Omri Casspi,SAC,14/15,8.9,3.9,1.5,0.354,0
Michael Beasley,MIA,14/15,8.8,3.7,1.3,0.451,0
Paul George,IND,14/15,8.8,3.7,1.0,0.463,0
Hollis Thompson,PHI,14/15,8.8,2.8,1.2,0.22,0
Devin Harris,DAL,14/15,8.8,1.8,3.1,0.61,0
Mason Plumlee,BRK,14/15,8.7,6.2,0.9,0.463,0
Boris Diaw,SAS,14/15,8.7,4.3,2.9,0.671,0
Randy Foye,DEN,14/15,8.7,1.7,2.4,0.366,0
Dwight Buycks,LAL,14/15,8.7,2.0,2.3,0.256,0
Rodney Hood,UTA,14/15,8.7,2.3,1.7,0.463,0
Chris Kaman,POR,14/15,8.6,6.5,0.9,0.622,0
Tony Allen,MEM,14/15,8.6,4.4,1.4,0.671,0
Mirza Teletović,BRK,14/15,8.5,4.8,1.2,0.463,0
Tristan Thompson,CLE,14/15,8.5,8.0,0.5,0.646,0
Sebastian Telfair,OKC,14/15,8.4,1.9,2.8,0.549,0
Rudy Gobert,UTA,14/15,8.4,9.5,1.3,0.463,0
Derrick Williams,SAC,14/15,8.3,2.7,0.7,0.354,0
Ed Davis,LAL,14/15,8.3,7.6,1.2,0.256,0
Kyrie Irving,CLE,12/13,22.5,3.7,5.9,0.293,0
LaMarcus Aldridge,POR,12/13,21.1,9.1,2.6,0.402,0
Brook Lopez,BRK,12/13,19.4,6.9,0.9,0.598,0
Monta Ellis,MIL,12/13,19.2,3.9,6.0,0.463,0
Damian Lillard,POR,12/13,19.0,3.1,6.5,0.402,0
Deron Williams,BRK,12/13,18.9,3.0,7.7,0.598,0
Paul Pierce,BOS,12/13,18.6,6.3,4.8,0.506,0
John Wall,WAS,12/13,18.5,4.0,7.6,0.354,0
Kevin Love,MIN,12/13,18.3,14.0,2.3,0.378,0
DeMar DeRozan,TOR,12/13,18.1,3.9,2.5,0.415,0
J.R. Smith,NYK,12/13,18.1,5.3,2.7,0.659,0
Blake Griffin,LAC,12/13,18.0,8.3,3.7,0.683,0
Al Jefferson,UTA,12/13,17.8,9.2,2.1,0.524,0
Kemba Walker,CHO,12/13,17.7,3.5,5.7,0.256,0
Jrue Holiday,PHI,12/13,17.7,4.2,8.0,0.415,0
Brandon Jennings,MIL,12/13,17.5,3.1,6.5,0.463,0
Josh Smith,ATL,12/13,17.5,8.4,4.2,0.537,0
Paul George,IND,12/13,17.4,7.6,4.1,0.605,0
Al Horford,ATL,12/13,17.4,10.2,3.2,0.537,0
Dirk Nowitzki,DAL,12/13,17.3,6.8,2.5,0.5,0
David West,IND,12/13,17.1,7.7,2.9,0.605,0
DeMarcus Cousins,SAC,12/13,17.1,9.9,2.7,0.341,0
Dwight Howard,LAL,12/13,17.1,12.4,1.4,0.549,0
Eric Gordon,NOH,12/13,17.0,1.8,3.3,0.329,0
Chris Bosh,MIA,12/13,16.6,6.8,1.7,0.805,0
Klay Thompson,GSW,12/13,16.6,3.7,2.2,0.573,0
Arron Afflalo,ORL,12/13,16.5,3.7,3.2,0.244,0
Jamal Crawford,LAC,12/13,16.5,1.7,2.5,0.683,0
Luol Deng,CHI,12/13,16.5,6.3,3.0,0.549,0
Nikola Peković,MIN,12/13,16.3,8.8,0.9,0.378,0
Joe Johnson,BRK,12/13,16.3,3.0,3.5,0.598,0
Carlos Boozer,CHI,12/13,16.2,9.8,2.3,0.549,0
Danilo Gallinari,DEN,12/13,16.2,5.2,2.5,0.695,0
Ryan Anderson,NOH,12/13,16.2,6.4,1.2,0.329,0
Greg Monroe,DET,12/13,16.0,9.6,3.5,0.354,0
Gerald Henderson,CHO,12/13,15.5,3.7,2.6,0.256,0
Chandler Parsons,HOU,12/13,15.5,5.3,3.5,0.549,0
Zach Randolph,MEM,12/13,15.4,11.2,1.4,0.683,0
O.J. Mayo,DAL,12/13,15.3,3.5,4.4,0.5,0
Tyreke Evans,SAC,12/13,15.2,4.4,3.5,0.341,0
Glen Davis,ORL,12/13,15.1,7.2,2.1,0.244,0
Thaddeus Young,PHI,12/13,14.8,7.5,1.6,0.415,0
Wesley Matthews,POR,12/13,14.8,2.8,2.5,0.402,0
Goran Dragić,PHO,12/13,14.7,3.1,7.4,0.305,0
Jameer Nelson,ORL,12/13,14.7,3.7,7.4,0.244,0
Dion Waiters,CLE,12/13,14.7,2.4,3.0,0.293,0
Mike Conley,MEM,12/13,14.6,2.8,6.1,0.683,0
Jeff Teague,ATL,12/13,14.6,2.2,7.2,0.537,0
Paul Millsap,UTA,12/13,14.6,7.1,2.6,0.524,0
Ramon Sessions,CHO,12/13,14.4,2.8,3.8,0.256,0
Nicolas Batum,POR,12/13,14.3,5.6,4.9,0.402,0
Amar'e Stoudemire,NYK,12/13,14.2,5.0,0.4,0.659,0
George Hill,IND,12/13,14.2,3.7,4.7,0.605,0
Lou Williams,ATL,12/13,14.1,2.1,3.6,0.537,0
Gordon Hayward,UTA,12/13,14.1,3.1,3.0,0.524,0
Anderson Varejão,CLE,12/13,14.1,14.4,3.4,0.293,0
Kevin Martin,OKC,12/13,14.0,2.3,1.4,0.732,0
Raymond Felton,NYK,12/13,13.9,2.9,5.5,0.659,0
Bradley Beal,WAS,12/13,13.9,3.8,2.4,0.354,0
Isaiah Thomas,SAC,12/13,13.9,2.0,4.0,0.341,0
Greivis Vásquez,NOH,12/13,13.9,4.3,9.0,0.329,0
Rajon Rondo,BOS,12/13,13.7,5.6,11.1,0.506,0
Pau Gasol,LAL,12/13,13.7,8.6,4.1,0.549,0
Anthony Davis,NOH,12/13,13.5,8.2,1.0,0.329,0
Vince Carter,DAL,12/13,13.4,4.1,2.4,0.5,0
Jeremy Lin,HOU,12/13,13.4,3.0,6.1,0.549,0
Evan Turner,PHI,12/13,13.3,6.3,4.3,0.415,0
Brandon Knight,DET,12/13,13.3,3.3,4.0,0.354,0
Serge Ibaka,OKC,12/13,13.2,7.7,0.5,0.732,0
Ersan İlyasova,MIL,12/13,13.2,7.1,1.6,0.463,0
Nate Robinson,CHI,12/13,13.1,2.2,4.4,0.549,0
Nikola Vučević,ORL,12/13,13.1,11.9,1.9,0.244,0
Wilson Chandler,DEN,12/13,13.0,5.1,1.3,0.695,0
Andre Iguodala,DEN,12/13,13.0,5.3,5.4,0.695,0
Jarrett Jack,GSW,12/13,12.9,3.1,5.6,0.573,0
Mo Williams,UTA,12/13,12.9,2.4,6.2,0.524,0
Jeff Green,BOS,12/13,12.8,3.9,1.6,0.506,0
Luis Scola,PHO,12/13,12.8,6.6,2.2,0.305,0
J.J. Hickson,POR,12/13,12.7,10.4,1.1,0.402,0
