Player,Team,Season,ORtg,DRtg,PER,BPM,USG%,VORP
DeMar DeRozan,TOR,12/13,105,110,14.7,-1.4,24.2,0.4
Jeff Green,BOS,12/13,104,104,15.0,-0.3,22.2,1.0
Wesley Matthews,POR,12/13,111,111,14.1,0.5,19.1,1.5
Monta Ellis,MIL,12/13,100,105,16.2,0.6,26.3,2.1
Metta World Peace,LAL,12/13,105,106,12.5,0.4,17.5,1.5
Manu Ginóbili,SAS,12/13,107,100,19.0,3.6,25.2,2.0
JJ Redick,MILORL,12/13,111,113,14.7,-0.4,20.8,0.9
John Wall,WAS,12/13,105,103,20.8,3.9,29.3,2.4
Spencer Hawes,PHI,12/13,103,104,16.0,-0.5,20.9,0.9
Emeka Okafor,WAS,12/13,100,99,15.8,-0.7,19.5,0.7
Andre Drummond,DET,12/13,114,99,21.6,2.5,17.2,1.4
Shane Battier,MIA,12/13,122,107,10.7,1.0,11.0,1.4
Boris Diaw,SAS,12/13,113,103,11.9,0.8,12.0,1.2
Tyreke Evans,SAC,12/13,110,111,18.1,1.8,22.3,1.9
Mike Dunleavy,MIL,12/13,111,107,13.6,0.4,17.3,1.2
DeMarcus Cousins,SAC,12/13,102,106,20.2,0.2,28.1,1.2
Tyler Hansbrough,IND,12/13,110,101,15.3,-1.9,20.6,0.0
Derrick Favors,UTA,12/13,104,101,17.5,-0.5,20.6,0.7
Luis Scola,PHO,12/13,105,107,16.7,-0.5,23.3,0.8
Luke Ridnour,MIN,12/13,107,108,13.0,-0.8,18.3,0.8
Reggie Evans,BRK,12/13,102,100,12.8,-1.7,11.0,0.1
Klay Thompson,GSW,12/13,102,107,12.7,-0.3,21.8,1.3
Antawn Jamison,LAL,12/13,114,108,15.3,-0.1,18.7,0.8
Steve Nash,LAL,12/13,117,111,16.0,0.4,17.8,1.0
Josh Smith,ATL,12/13,97,101,17.7,1.8,26.7,2.5
Raymond Felton,NYK,12/13,105,108,15.2,0.1,22.1,1.2
O.J. Mayo,DAL,12/13,104,109,13.9,-0.5,20.9,1.1
Brandan Wright,DAL,12/13,119,105,21.0,2.5,19.0,1.3
Patrick Patterson,HOUSAC,12/13,114,110,15.2,-0.1,17.6,0.9
Rudy Gay,MEMTOR,12/13,98,102,15.6,1.1,27.2,2.1
Nenê,WAS,12/13,103,101,17.0,1.3,23.4,1.3
Jason Terry,BOS,12/13,107,107,12.8,-0.2,18.0,1.0
Greg Smith,HOU,12/13,125,105,16.1,-0.6,14.7,0.4
Jerryd Bayless,MEM,12/13,104,103,13.5,0.1,20.8,1.0
Steve Novak,NYK,12/13,125,110,11.3,0.1,13.0,0.9
Jonas Valančiūnas,TOR,12/13,113,106,15.6,-1.2,16.9,0.3
Corey Brewer,DEN,12/13,104,105,14.7,0.4,23.4,1.2
C.J. Watson,BRK,12/13,113,107,13.9,0.9,17.2,1.1
Greivis Vásquez,NOH,12/13,105,112,16.3,-0.4,23.0,1.1
Randy Foye,UTA,12/13,110,111,11.7,-0.6,18.1,0.8
Eric Bledsoe,LAC,12/13,102,101,17.5,3.5,22.5,2.2
Pau Gasol,LAL,12/13,107,106,16.7,2.0,20.5,1.7
Jason Thompson,SAC,12/13,108,111,14.6,-2.6,18.2,-0.3
Caron Butler,LAC,12/13,107,107,12.4,-1.3,20.2,0.3
Tayshaun Prince,DETMEM,12/13,103,108,11.5,-1.2,16.8,0.5
Carlos Delfino,HOU,12/13,109,107,13.3,1.4,18.6,1.5
Dante Cunningham,MIN,12/13,103,105,13.3,-1.4,17.2,0.3
Elton Brand,DAL,12/13,105,102,15.2,-0.9,17.2,0.4
Marcin Gortat,PHO,12/13,104,105,15.4,-0.5,17.2,0.7
Jrue Holiday,PHI,12/13,99,107,16.7,0.5,26.6,1.9
Courtney Lee,BOS,12/13,102,104,11.7,-0.5,15.7,0.7
Taj Gibson,CHI,12/13,104,101,14.4,-1.1,18.1,0.3
Devin Harris,ATL,12/13,108,106,14.6,0.1,19.5,0.8
Gerald Henderson,CHA,12/13,107,113,16.4,-1.1,23.5,0.5
Anderson Varejão,CLE,12/13,117,104,21.7,3.7,18.7,1.3
Pablo Prigioni,NYK,12/13,116,106,13.0,0.1,11.7,0.7
Quincy Pondexter,MEM,12/13,114,104,11.0,-0.1,13.9,0.6
Wayne Ellington,CLEMEM,12/13,111,109,12.2,-0.5,16.8,0.6
Marcus Thornton,SAC,12/13,111,114,16.3,0.3,23.1,1.0
Rajon Rondo,BOS,12/13,103,103,18.1,2.2,21.7,1.5
Udonis Haslem,MIA,12/13,110,103,9.9,-3.2,10.7,-0.4
Al-Farouq Aminu,NOH,12/13,101,105,13.7,-0.1,14.6,1.0
Chris Wilcox,BOS,12/13,127,101,15.3,0.0,12.1,0.4
Trevor Ariza,WAS,12/13,102,101,14.0,2.1,17.9,1.6
Kirk Hinrich,CHI,12/13,103,105,10.8,-0.9,14.7,0.5
Gerald Wallace,BRK,12/13,101,104,11.6,0.7,14.5,1.3
DeMarre Carroll,UTA,12/13,115,106,15.5,1.3,16.4,0.9
Wilson Chandler,DEN,12/13,110,105,16.6,0.5,22.7,0.7
Derrick Williams,MIN,12/13,101,105,14.5,-1.5,23.5,0.2
Ricky Rubio,MIN,12/13,99,102,16.2,1.1,21.2,1.3
Bradley Beal,WAS,12/13,102,105,13.6,0.2,22.2,1.0
Marco Belinelli,CHI,12/13,104,107,10.4,-2.3,18.7,-0.1
Jodie Meeks,LAL,12/13,109,109,11.4,-1.0,16.7,0.4
