Player,Team,Season,PPG,RPG,APG,WS
Isaac Okoro,CLE,22/23,6.4,2.5,1.1,4.2
Herbert Jones,NOP,22/23,9.8,4.1,2.5,4.2
Xavier Tillman Sr.,MEM,22/23,7.0,5.0,1.6,4.2
Donte DiVincenzo,GSW,22/23,9.4,4.5,3.5,4.2
Nick Richards,CHO,22/23,8.2,6.4,0.6,4.2
Thomas Bryant,DENLAL,22/23,9.8,5.7,0.5,4.1
Jerami Grant,POR,22/23,20.5,4.5,2.4,4.1
Torrey Craig,PHO,22/23,7.4,5.4,1.5,4.0
Josh Giddey,OKC,22/23,16.6,7.9,6.2,4.0
Saddiq Bey,ATLDET,22/23,13.8,4.7,1.5,3.9
Robert Williams,BOS,22/23,8.0,8.3,1.4,3.8
Corey Kispert,WAS,22/23,11.1,2.8,1.2,3.8
Anthony Edwards,MIN,22/23,24.6,5.8,4.4,3.8
Isaiah Joe,OKC,22/23,9.5,2.4,1.2,3.8
Marcus Smart,BOS,22/23,11.5,3.1,6.3,3.7
Cole Anthony,ORL,22/23,13.0,4.8,3.9,3.7
Caleb Martin,MIA,22/23,9.6,4.8,1.6,3.7
Delon Wright,WAS,22/23,7.4,3.6,3.9,3.7
Markelle Fultz,ORL,22/23,14.0,3.9,5.7,3.7
Nicolas Batum,LAC,22/23,6.1,3.8,1.6,3.6
Zion Williamson,NOP,22/23,26.0,7.0,4.6,3.6
Alex Caruso,CHI,22/23,5.6,2.9,2.9,3.6
Bojan Bogdanović,DET,22/23,21.6,3.8,2.6,3.5
Cameron Johnson,BRKPHO,22/23,15.5,4.4,1.9,3.5
Patrick Williams,CHI,22/23,10.2,4.0,1.2,3.5
Tyler Herro,MIA,22/23,20.1,5.4,4.2,3.5
Norman Powell,LAC,22/23,17.0,2.9,1.8,3.5
John Konchar,MEM,22/23,5.1,4.3,1.4,3.5
Jevon Carter,MIL,22/23,8.0,2.5,2.4,3.5
Brandon Ingram,NOP,22/23,24.7,5.5,5.8,3.5
Kyle Lowry,MIA,22/23,11.2,4.1,5.1,3.4
Bradley Beal,WAS,22/23,23.2,3.9,5.4,3.4
Moritz Wagner,ORL,22/23,10.5,4.5,1.5,3.4
Sam Hauser,BOS,22/23,6.4,2.6,0.9,3.4
Tre Jones,SAS,22/23,12.9,3.6,6.6,3.4
Steven Adams,MEM,22/23,8.6,11.5,2.3,3.4
Luke Kennard,LACMEM,22/23,9.3,2.7,1.5,3.4
Max Strus,MIA,22/23,11.5,3.2,2.1,3.4
Kenrich Williams,OKC,22/23,8.0,4.9,2.0,3.3
Luke Kornet,BOS,22/23,3.8,2.9,0.8,3.3
Cedi Osman,CLE,22/23,8.7,2.3,1.5,3.3
Malik Monk,SAC,22/23,13.5,2.6,3.9,3.2
Jordan Poole,GSW,22/23,20.4,2.7,4.5,3.2
Coby White,CHI,22/23,9.7,2.9,2.8,3.1
Klay Thompson,GSW,22/23,21.9,4.1,2.4,3.1
T.J. McConnell,IND,22/23,8.7,3.1,5.3,3.1
Patrick Beverley,CHILAL,22/23,6.2,3.7,2.9,3.0
Naz Reid,MIN,22/23,11.5,4.9,1.1,3.0
Luguentz Dort,OKC,22/23,13.7,4.6,2.1,2.9
Ayo Dosunmu,CHI,22/23,8.6,2.8,2.6,2.9
Troy Brown Jr.,LAL,22/23,7.1,4.1,1.2,2.9
Kevin Porter Jr.,HOU,22/23,19.2,5.3,5.7,2.9
Royce O'Neale,BRK,22/23,8.8,5.1,3.7,2.9
Shake Milton,PHI,22/23,8.4,2.5,3.2,2.9
Josh Okogie,PHO,22/23,7.3,3.5,1.5,2.8
Paul Reed,PHI,22/23,4.2,3.8,0.4,2.8
Andre Drummond,CHI,22/23,6.0,6.6,0.5,2.8
Mark Williams,CHO,22/23,9.0,7.1,0.4,2.8
Dennis Schröder,LAL,22/23,12.6,2.5,4.5,2.8
Wenyen Gabriel,LAL,22/23,5.5,4.2,0.5,2.8
Bogdan Bogdanović,ATL,22/23,14.0,3.1,2.8,2.8
Reggie Bullock,DAL,22/23,7.2,3.6,1.4,2.8
Jalen McDaniels,CHOPHI,22/23,9.4,4.3,1.6,2.7
Jock Landale,PHO,22/23,6.6,4.1,1.0,2.7
Keita Bates-Diop,SAS,22/23,9.7,3.7,1.5,2.7
Isaiah Jackson,IND,22/23,7.2,4.5,0.8,2.7
Jusuf Nurkić,POR,22/23,13.3,9.1,2.9,2.7
Karl-Anthony Towns,MIN,22/23,20.8,8.1,4.8,2.7
Joe Harris,BRK,22/23,7.6,2.2,1.4,2.6
Aaron Wiggins,OKC,22/23,6.8,3.0,1.1,2.6
Josh Green,DAL,22/23,9.1,3.0,1.7,2.6
Jericho Sims,NYK,22/23,3.4,4.7,0.5,2.6
P.J. Washington,CHO,22/23,15.7,4.9,2.4,2.6
Tari Eason,HOU,22/23,9.3,6.0,1.1,2.6
Kevin Love,CLEMIA,22/23,8.2,6.4,1.9,2.6
Damion Lee,PHO,22/23,8.2,3.0,1.3,2.6
Trey Lyles,SAC,22/23,7.6,4.1,0.9,2.6
P.J. Tucker,PHI,22/23,3.5,3.9,0.8,2.5
Pat Connaughton,MIL,22/23,7.6,4.6,1.3,2.5
Alec Burks,DET,22/23,12.8,3.1,2.2,2.5
Naji Marshall,NOP,22/23,9.1,3.6,2.5,2.5
Devonte' Graham,NOPSAS,22/23,7.4,1.7,2.7,2.5
De'Andre Hunter,ATL,22/23,15.4,4.2,1.4,2.5
Mike Muscala,BOSOKC,22/23,6.1,3.2,0.8,2.5
Collin Sexton,UTA,22/23,14.3,2.2,2.9,2.5
Georges Niang,PHI,22/23,8.2,2.4,1.0,2.5
Anfernee Simons,POR,22/23,21.1,2.6,4.1,2.5
Derrick Jones Jr.,CHI,22/23,5.0,2.4,0.5,2.4
LeBron James,CLE,09/10,29.7,7.3,8.6,18.5
Kevin Durant,OKC,09/10,30.1,7.6,2.8,16.1
Dwight Howard,ORL,09/10,18.3,13.2,1.8,13.2
Dwyane Wade,MIA,09/10,26.6,4.8,6.5,13.0
Dirk Nowitzki,DAL,09/10,25.0,7.7,2.7,12.3
Gerald Wallace,CHA,09/10,18.2,10.0,2.1,11.5
Pau Gasol,LAL,09/10,18.3,11.3,3.4,11.0
Tim Duncan,SAS,09/10,17.9,10.1,3.2,10.9
Al Horford,ATL,09/10,14.2,9.9,2.3,10.9
Nenê,DEN,09/10,13.8,7.6,2.5,10.8
Amar'e Stoudemire,PHO,09/10,23.1,8.9,1.0,10.7
Deron Williams,UTA,09/10,18.7,4.0,10.5,10.3
David Lee,NYK,09/10,20.2,11.7,3.6,10.3
Carlos Boozer,UTA,09/10,19.5,11.2,3.2,9.9
Steve Nash,PHO,09/10,16.5,3.3,11.0,9.9
Zach Randolph,MEM,09/10,20.8,11.7,1.8,9.7
Manu Ginóbili,SAS,09/10,16.5,3.8,4.9,9.7
Rajon Rondo,BOS,09/10,13.7,4.4,9.8,9.6
Chris Bosh,TOR,09/10,24.0,10.8,2.4,9.6
Chauncey Billups,DEN,09/10,19.5,3.1,5.6,9.5
Kobe Bryant,LAL,09/10,27.0,5.4,5.0,9.4
Josh Smith,ATL,09/10,15.7,8.7,4.2,9.3
Brandon Roy,POR,09/10,21.5,4.4,4.7,9.1
Jason Kidd,DAL,09/10,10.3,5.6,9.0,8.9
LaMarcus Aldridge,POR,09/10,17.9,8.0,2.1,8.8
Marc Gasol,MEM,09/10,14.6,9.3,2.4,8.4
Joe Johnson,ATL,09/10,21.3,4.6,4.9,8.4
Paul Pierce,BOS,09/10,18.3,4.4,3.1,8.3
Anderson Varejão,CLE,09/10,8.6,7.6,1.1,8.1
Carmelo Anthony,DEN,09/10,28.2,6.6,3.2,7.9
Ray Allen,BOS,09/10,16.3,3.2,2.6,7.9
Brook Lopez,NJN,09/10,18.8,8.6,2.3,7.9
Andrew Bynum,LAL,09/10,15.0,8.3,1.0,7.8
Troy Murphy,IND,09/10,14.6,10.2,2.1,7.8
Carl Landry,HOUSAC,09/10,16.8,5.8,0.8,7.7
Lamar Odom,LAL,09/10,10.8,9.8,3.3,7.7
David West,NOH,09/10,19.0,7.5,3.0,7.5
Andrew Bogut,MIL,09/10,15.9,10.2,1.8,7.5
Vince Carter,ORL,09/10,16.6,3.9,3.1,7.4
Kevin Garnett,BOS,09/10,14.3,7.3,2.7,7.3
Jamal Crawford,ATL,09/10,18.0,2.5,3.0,7.3
Chris Paul,NOH,09/10,18.7,4.2,10.7,7.3
Paul Millsap,UTA,09/10,11.6,6.8,1.6,7.2
John Salmons,CHIMIL,09/10,15.4,3.3,2.8,7.1
Andre Miller,POR,09/10,14.0,3.2,5.4,7.0
Marcus Camby,LACPOR,09/10,7.5,11.8,2.5,6.8
George Hill,SAS,09/10,12.4,2.6,2.9,6.7
Andre Iguodala,PHI,09/10,17.1,6.5,5.8,6.7
Brendan Haywood,DALWAS,09/10,9.1,9.3,0.6,6.7
Mo Williams,CLE,09/10,15.8,3.0,5.3,6.7
Jeff Green,OKC,09/10,15.1,6.0,1.6,6.6
Jason Richardson,PHO,09/10,15.7,5.1,1.8,6.6
JJ Redick,ORL,09/10,9.6,1.9,1.9,6.5
Raymond Felton,CHA,09/10,12.1,3.6,5.6,6.5
Rashard Lewis,ORL,09/10,14.1,4.4,1.5,6.5
Jason Terry,DAL,09/10,16.6,1.8,3.8,6.5
Channing Frye,PHO,09/10,11.2,5.3,1.4,6.4
Rudy Gay,MEM,09/10,19.6,5.9,1.9,6.4
Luis Scola,HOU,09/10,16.2,8.6,2.1,6.3
Corey Maggette,GSW,09/10,19.8,5.3,2.5,6.3
Danny Granger,IND,09/10,24.1,5.5,2.8,6.2
Boris Diaw,CHA,09/10,11.3,5.2,4.0,6.2
Joakim Noah,CHI,09/10,10.7,11.0,2.1,6.2
Luke Ridnour,MIL,09/10,10.4,1.7,4.0,6.2
Russell Westbrook,OKC,09/10,16.1,4.9,8.0,6.1
Udonis Haslem,MIA,09/10,9.9,8.1,0.7,6.0
Derrick Rose,CHI,09/10,20.8,3.8,6.0,6.0
Andrei Kirilenko,UTA,09/10,11.9,4.6,2.7,6.0
Richard Jefferson,SAS,09/10,12.3,4.4,2.0,6.0
Matt Barnes,ORL,09/10,8.8,5.5,1.7,5.9
Luol Deng,CHI,09/10,17.6,7.3,2.0,5.9
Chris Andersen,DEN,09/10,5.9,6.4,0.4,5.9
Ersan İlyasova,MIL,09/10,10.4,6.4,1.0,5.8
Quentin Richardson,MIA,09/10,8.9,4.9,1.2,5.8
Antawn Jamison,CLEWAS,09/10,18.7,8.4,1.3,5.8
Marvin Williams,ATL,09/10,10.1,5.1,1.1,5.7
O.J. Mayo,MEM,09/10,17.5,3.8,3.0,5.6
Mehmet Okur,UTA,09/10,13.5,7.1,1.6,5.6
Danilo Gallinari,NYK,09/10,15.1,4.9,1.7,5.6
Jermaine O'Neal,MIA,09/10,13.6,6.9,1.3,5.6
Aaron Brooks,HOU,09/10,19.6,2.6,5.3,5.5
Beno Udrih,SAC,09/10,12.9,2.8,4.7,5.5
Grant Hill,PHO,09/10,11.3,5.5,2.4,5.5
Emeka Okafor,NOH,09/10,10.4,9.0,0.7,5.5
Tyreke Evans,SAC,09/10,20.1,5.3,5.8,5.4
Jared Dudley,PHO,09/10,8.2,3.4,1.4,5.3
Metta World Peace,LAL,09/10,11.0,4.3,3.0,5.3
Kendrick Perkins,BOS,09/10,10.1,7.6,1.0,5.2
Samuel Dalembert,PHI,09/10,8.1,9.6,0.8,5.2
Lou Williams,PHI,09/10,14.0,2.9,4.2,5.2
Jameer Nelson,ORL,09/10,12.6,3.0,5.4,5.0
Stephen Jackson,CHAGSW,09/10,20.6,5.0,3.7,5.0
Shawn Marion,DAL,09/10,12.0,6.4,1.4,5.0
Anthony Parker,CLE,09/10,7.3,2.9,1.9,4.9
Kevin Love,MIN,09/10,14.0,11.0,2.3,4.9
Carlos Delfino,MIL,09/10,11.0,5.3,2.7,4.8
Jarrett Jack,TOR,09/10,11.4,2.7,5.0,4.8
Mike Bibby,ATL,09/10,9.1,2.3,3.9,4.8
Luc Mbah a Moute,MIL,09/10,6.2,5.5,1.1,4.7
Nick Collison,OKC,09/10,5.9,5.1,0.5,4.7
Ben Wallace,DET,09/10,5.5,8.7,1.5,4.7
Taj Gibson,CHI,09/10,9.0,7.5,0.9,4.7
Stephen Curry,GSW,09/10,17.5,4.4,5.9,4.7
Al Jefferson,MIN,09/10,17.1,9.2,1.8,4.6
Michael Beasley,MIA,09/10,14.8,6.4,1.3,4.6
Wesley Matthews,UTA,09/10,9.4,2.3,1.5,4.6
DeJuan Blair,SAS,09/10,7.8,6.4,0.8,4.6
Amir Johnson,TOR,09/10,6.2,4.8,0.6,4.5
Baron Davis,LAC,09/10,15.3,3.5,8.0,4.5
Jason Williams,ORL,09/10,6.0,1.5,3.6,4.5
James Harden,OKC,09/10,9.9,3.2,1.8,4.5
Jonas Jerebko,DET,09/10,9.3,6.0,0.7,4.4
Drew Gooden,DALLAC,09/10,10.9,7.7,0.7,4.4
Martell Webster,POR,09/10,9.4,3.3,0.8,4.4
Kyle Lowry,HOU,09/10,9.1,3.6,4.5,4.3
J.J. Hickson,CLE,09/10,8.5,4.9,0.5,4.3
Shane Battier,HOU,09/10,8.0,4.7,2.4,4.3
Dorell Wright,MIA,09/10,7.1,3.3,1.3,4.3
Arron Afflalo,DEN,09/10,8.8,3.1,1.7,4.3
Nenad Krstić,OKC,09/10,8.4,5.0,0.7,4.2
José Calderón,TOR,09/10,10.3,2.1,5.9,4.2
Andrea Bargnani,TOR,09/10,17.2,6.2,1.2,4.2
Kevin Martin,HOUSAC,09/10,20.6,3.6,2.4,4.2
Brandon Jennings,MIL,09/10,15.5,3.4,5.7,4.2
Roy Hibbert,IND,09/10,11.7,5.7,2.0,4.1
Thabo Sefolosha,OKC,09/10,6.0,4.7,1.8,4.0
Hakim Warrick,CHIMIL,09/10,9.6,4.1,0.7,4.0
Marcus Thornton,NOH,09/10,14.5,2.9,1.6,4.0
Kirk Hinrich,CHI,09/10,10.9,3.5,4.5,4.0
Mike Conley,MEM,09/10,12.0,2.4,5.3,4.0
Jason Thompson,SAC,09/10,12.5,8.5,1.7,4.0
Brad Miller,CHI,09/10,8.8,4.9,1.9,4.0
Derek Fisher,LAL,09/10,7.5,2.1,2.5,3.9
Mike Miller,WAS,09/10,10.9,6.2,3.9,3.9
Erick Dampier,DAL,09/10,6.0,7.3,0.6,3.7
Ronnie Brewer,MEMUTA,09/10,8.8,3.2,2.7,3.7
Ty Lawson,DEN,09/10,8.3,1.9,3.1,3.7
Carlos Arroyo,MIA,09/10,6.1,1.8,3.1,3.7
Serge Ibaka,OKC,09/10,6.3,5.4,0.1,3.7
Matt Bonner,SAS,09/10,7.0,3.3,1.0,3.7
Mickaël Piétrus,ORL,09/10,8.7,2.9,0.7,3.6
Tony Parker,SAS,09/10,16.0,2.4,5.7,3.6
Chuck Hayes,HOU,09/10,4.4,5.7,1.7,3.6
Rasheed Wallace,BOS,09/10,9.0,4.1,1.0,3.6
Nazr Mohammed,CHA,09/10,7.9,5.2,0.5,3.6
Charlie Villanueva,DET,09/10,11.9,4.7,0.7,3.5
Anthony Morrow,GSW,09/10,13.0,3.8,1.5,3.5
Al Harrington,NYK,09/10,17.7,5.6,1.5,3.5
Caron Butler,DALWAS,09/10,16.3,6.2,2.1,3.5
Elton Brand,PHI,09/10,13.1,6.1,1.4,3.5
Nicolas Batum,POR,09/10,10.1,3.8,1.2,3.5
Marcin Gortat,ORL,09/10,3.6,4.2,0.2,3.4
Andray Blatche,WAS,09/10,14.1,6.3,2.1,3.4
Shannon Brown,LAL,09/10,8.1,2.2,1.3,3.4
Hedo Türkoğlu,TOR,09/10,11.3,4.6,4.1,3.4
Steve Blake,LACPOR,09/10,7.3,2.3,4.8,3.3
Delonte West,CLE,09/10,8.8,2.8,3.3,3.3
Kenyon Martin,DEN,09/10,11.5,9.4,1.9,3.3
Robin Lopez,PHO,09/10,8.4,4.9,0.1,3.2
Eric Gordon,LAC,09/10,16.9,2.6,3.0,3.2
Trevor Ariza,HOU,09/10,14.9,5.6,3.8,3.2
Tayshaun Prince,DET,09/10,13.5,5.1,3.3,3.2
Antonio McDyess,SAS,09/10,5.8,5.9,1.1,3.2
Maurice Evans,ATL,09/10,5.7,1.9,0.6,3.1
Courtney Lee,NJN,09/10,12.5,3.5,1.7,3.1
Chase Budinger,HOU,09/10,8.9,3.0,1.2,3.1
C.J. Watson,GSW,09/10,10.3,2.6,2.8,3.1
Shaquille O'Neal,CLE,09/10,12.0,6.7,1.5,3.1
Joel Anthony,MIA,09/10,2.7,3.1,0.2,3.1
Ryan Anderson,ORL,09/10,7.7,3.2,0.6,3.1
Rudy Fernández,POR,09/10,8.1,2.6,2.0,3.0
Craig Smith,LAC,09/10,7.8,3.8,1.1,3.0
Darren Collison,NOH,09/10,12.4,2.5,5.7,2.9
Tyson Chandler,CHA,09/10,6.5,6.3,0.3,2.9
Lou Amundson,PHO,09/10,4.7,4.4,0.4,2.9
Jamario Moon,CLE,09/10,4.9,3.1,0.8,2.9
Jordan Farmar,LAL,09/10,7.2,1.6,1.5,2.8
Goran Dragić,PHO,09/10,7.9,2.1,3.0,2.8
D.J. Augustin,CHA,09/10,6.4,1.2,2.4,2.8
Zaza Pachulia,ATL,09/10,4.3,3.8,0.5,2.7
Wilson Chandler,NYK,09/10,15.3,5.4,2.1,2.7
Peja Stojaković,NOH,09/10,12.6,3.7,1.5,2.7
Mario Chalmers,MIA,09/10,7.1,1.8,3.4,2.7
J.R. Smith,DEN,09/10,15.4,3.1,2.4,2.7
Rodney Stuckey,DET,09/10,16.6,3.8,4.8,2.7
Rasual Butler,LAC,09/10,11.9,2.9,1.4,2.7
Devin Harris,NJN,09/10,16.9,3.2,6.6,2.7
Jerryd Bayless,POR,09/10,8.5,1.6,2.3,2.7
Earl Watson,IND,09/10,7.8,3.0,5.1,2.6
Keith Bogans,SAS,09/10,4.4,2.2,1.2,2.6
Tyrus Thomas,CHACHI,09/10,9.4,6.2,1.0,2.6
Juwan Howard,POR,09/10,6.0,4.6,0.8,2.6
Daniel Gibson,CLE,09/10,6.3,1.3,1.2,2.6
Jason Maxiell,DET,09/10,6.8,5.3,0.5,2.6
Kyle Korver,UTA,09/10,7.2,2.1,1.7,2.6
Omri Casspi,SAC,09/10,10.3,4.5,1.2,2.5
Anthony Tolliver,GSWPOR,09/10,11.7,7.0,1.9,2.5
Zydrunas Ilgauskas,CLE,09/10,7.4,5.4,0.8,2.5
Brandon Rush,IND,09/10,9.4,4.2,1.4,2.5
James Posey,NOH,09/10,5.2,4.3,1.5,2.4
James Harden,HOU,14/15,27.4,5.7,7.0,16.4
Chris Paul,LAC,14/15,19.1,4.6,10.2,16.1
Stephen Curry,GSW,14/15,23.8,4.3,7.7,15.7
Anthony Davis,NOP,14/15,24.4,10.2,2.2,14.0
DeAndre Jordan,LAC,14/15,11.5,15.0,0.7,12.8
Jimmy Butler,CHI,14/15,20.0,5.8,3.3,11.2
Russell Westbrook,OKC,14/15,28.1,7.3,8.6,10.6
Damian Lillard,POR,14/15,21.0,4.6,6.2,10.6
Pau Gasol,CHI,14/15,18.5,11.8,2.7,10.4
Kyrie Irving,CLE,14/15,21.7,3.2,5.2,10.4
LeBron James,CLE,14/15,25.3,6.0,7.4,10.4
Tyson Chandler,DAL,14/15,10.3,11.5,1.1,10.3
Marc Gasol,MEM,14/15,17.4,7.8,3.8,10.2
Tim Duncan,SAS,14/15,13.9,9.1,3.0,9.6
Rudy Gobert,UTA,14/15,8.4,9.5,1.3,9.3
Blake Griffin,LAC,14/15,21.9,7.6,5.3,9.0
Klay Thompson,GSW,14/15,21.7,3.2,2.9,8.8
Kevin Love,CLE,14/15,16.4,9.7,2.2,8.7
Gordon Hayward,UTA,14/15,19.2,4.9,4.1,8.7
Al Horford,ATL,14/15,15.2,7.2,3.2,8.7
Kawhi Leonard,SAS,14/15,16.5,7.2,2.5,8.6
LaMarcus Aldridge,POR,14/15,23.4,10.2,1.7,8.6
Marcin Gortat,WAS,14/15,12.2,8.7,1.2,8.6
Draymond Green,GSW,14/15,11.7,8.2,3.7,8.5
Derrick Favors,UTA,14/15,16.0,8.2,1.5,8.3
Paul Millsap,ATL,14/15,16.7,7.8,3.1,8.3
Jonas Valančiūnas,TOR,14/15,12.0,8.7,0.5,8.2
Danny Green,SAS,14/15,11.7,4.2,2.0,7.8
John Wall,WAS,14/15,17.6,4.6,10.0,7.8
Jeff Teague,ATL,14/15,15.9,2.5,7.0,7.7
Andre Drummond,DET,14/15,13.8,13.5,0.7,7.7
Kyle Korver,ATL,14/15,12.1,4.1,2.6,7.5
Dirk Nowitzki,DAL,14/15,17.3,5.9,1.9,7.2
Zach Randolph,MEM,14/15,16.1,10.5,2.2,7.2
Kyle Lowry,TOR,14/15,17.8,4.7,6.8,7.1
DeMarre Carroll,ATL,14/15,12.6,5.3,1.7,7.0
Nikola Vučević,ORL,14/15,19.3,10.9,2.0,7.0
Ty Lawson,DEN,14/15,15.2,3.1,9.6,7.0
Brook Lopez,BRK,14/15,17.2,7.4,0.7,7.0
Eric Bledsoe,PHO,14/15,17.0,5.2,6.1,7.0
Mike Conley,MEM,14/15,15.8,3.0,5.4,6.8
Greg Monroe,DET,14/15,15.9,10.2,2.1,6.8
Goran Dragić,MIAPHO,14/15,16.3,3.5,4.5,6.8
Tristan Thompson,CLE,14/15,8.5,8.0,0.5,6.8
Harrison Barnes,GSW,14/15,10.1,5.5,1.4,6.7
JJ Redick,LAC,14/15,16.4,2.1,1.8,6.7
Khris Middleton,MIL,14/15,13.4,4.4,2.3,6.7
Lou Williams,TOR,14/15,15.5,1.9,2.0,6.6
Trevor Ariza,HOU,14/15,12.8,5.6,2.5,6.6
Tyler Zeller,BOS,14/15,10.2,5.7,1.4,6.5
Enes Freedom,OKCUTA,14/15,15.5,8.9,0.7,6.4
Ed Davis,LAL,14/15,8.3,7.6,1.2,6.3
Giannis Antetokounmpo,MIL,14/15,12.7,6.7,2.6,6.2
Wesley Matthews,POR,14/15,15.9,3.7,2.3,6.2
Patrick Patterson,TOR,14/15,8.0,5.3,1.9,6.1
Rudy Gay,SAC,14/15,21.1,5.9,3.7,6.1
Brandan Wright,BOSDALPHO,14/15,7.3,4.3,0.5,6.1
Isaiah Thomas,BOSPHO,14/15,16.4,2.3,4.2,6.1
DeMarcus Cousins,SAC,14/15,24.1,12.7,3.6,6.0
Nikola Mirotić,CHI,14/15,10.2,4.9,1.2,5.7
Anthony Morrow,OKC,14/15,10.7,2.6,0.8,5.7
Timofey Mozgov,CLEDEN,14/15,9.7,7.3,0.7,5.7
Kenneth Faried,DEN,14/15,12.6,8.9,1.2,5.6
Serge Ibaka,OKC,14/15,14.3,7.8,0.9,5.6
Joakim Noah,CHI,14/15,7.2,9.6,4.7,5.6
Chandler Parsons,DAL,14/15,15.7,4.9,2.4,5.5
Paul Pierce,WAS,14/15,11.9,4.0,2.0,5.5
George Hill,IND,14/15,16.1,4.2,5.1,5.4
Luol Deng,MIA,14/15,14.0,5.2,1.9,5.4
Brandon Bass,BOS,14/15,10.6,4.9,1.3,5.3
Hassan Whiteside,MIA,14/15,11.8,10.0,0.1,5.3
Andrew Bogut,GSW,14/15,6.3,8.1,2.7,5.2
Nicolas Batum,POR,14/15,9.4,5.9,4.8,5.2
Jeff Green,BOSMEM,14/15,15.0,4.2,1.7,5.2
Robin Lopez,POR,14/15,9.6,6.7,0.9,5.1
Amir Johnson,TOR,14/15,9.3,6.1,1.6,5.1
Andre Iguodala,GSW,14/15,7.8,3.3,3.0,5.1
Ömer Aşık,NOP,14/15,7.3,9.8,0.9,5.0
Gorgui Dieng,MIN,14/15,9.7,8.3,2.0,4.9
Reggie Jackson,DETOKC,14/15,14.5,4.2,6.0,4.9
P.J. Tucker,PHO,14/15,9.1,6.4,1.6,4.9
Courtney Lee,MEM,14/15,10.1,2.3,2.0,4.8
Taj Gibson,CHI,14/15,10.3,6.4,1.1,4.8
Tobias Harris,ORL,14/15,17.1,6.3,1.8,4.8
Kevin Durant,OKC,14/15,25.4,6.6,4.1,4.8
Mason Plumlee,BRK,14/15,8.7,6.2,0.9,4.8
Al Jefferson,CHO,14/15,16.6,8.4,1.7,4.7
Donatas Motiejūnas,HOU,14/15,12.0,5.9,1.8,4.7
Tyreke Evans,NOP,14/15,16.6,5.3,6.6,4.6
Markieff Morris,PHO,14/15,15.3,6.2,2.3,4.6
Cory Joseph,SAS,14/15,6.8,2.4,2.4,4.5
Brandon Knight,MILPHO,14/15,17.0,3.9,5.2,4.5
Kemba Walker,CHO,14/15,17.3,3.5,5.1,4.5
Luis Scola,IND,14/15,9.4,6.5,1.3,4.4
Marvin Williams,CHO,14/15,7.4,4.9,1.3,4.3
Matt Barnes,LAC,14/15,10.1,4.0,1.5,4.3
David West,IND,14/15,11.7,6.8,3.4,4.3
Roy Hibbert,IND,14/15,10.6,7.1,1.1,4.2
Devin Harris,DAL,14/15,8.8,1.8,3.1,4.2
Zaza Pachulia,MIL,14/15,8.3,6.8,2.4,4.2
Jared Dudley,MIL,14/15,7.2,3.1,1.8,4.1
Mike Dunleavy,CHI,14/15,9.4,3.9,1.8,4.1
Steven Adams,OKC,14/15,7.7,7.5,0.9,4.1
Tony Allen,MEM,14/15,8.6,4.4,1.4,4.1
James Johnson,TOR,14/15,7.9,3.7,1.4,4.1
Joe Johnson,BRK,14/15,14.4,4.8,3.6,4.1
Tony Parker,SAS,14/15,14.4,1.9,4.9,4.1
Tiago Splitter,SAS,14/15,8.2,4.8,1.5,4.0
Rodney Stuckey,IND,14/15,12.6,3.5,3.1,4.0
Bismack Biyombo,CHO,14/15,4.8,6.4,0.2,4.0
Jared Sullinger,BOS,14/15,13.3,7.6,2.3,4.0
Ersan İlyasova,MIL,14/15,11.5,4.8,1.0,4.0
C.J. Watson,IND,14/15,10.0,2.9,3.6,4.0
Nerlens Noel,PHI,14/15,9.9,8.1,1.7,4.0
Marcus Morris,PHO,14/15,10.4,4.8,1.6,4.0
Marreese Speights,GSW,14/15,10.4,4.3,0.9,4.0
Robert Covington,PHI,14/15,13.5,4.5,1.5,4.0
DeMar DeRozan,TOR,14/15,20.1,4.6,3.5,4.0
Danilo Gallinari,DEN,14/15,12.4,3.7,1.4,3.9
Aron Baynes,SAS,14/15,6.6,4.5,0.5,3.9
Jae Crowder,BOSDAL,14/15,7.7,3.6,1.1,3.9
Cody Zeller,CHO,14/15,7.6,5.8,1.6,3.8
Darren Collison,SAC,14/15,16.1,3.2,5.6,3.8
Michael Kidd-Gilchrist,CHO,14/15,10.9,7.6,1.4,3.8
Kris Humphries,WAS,14/15,8.0,6.5,0.9,3.8
Bradley Beal,WAS,14/15,15.3,3.8,3.1,3.7
Manu Ginóbili,SAS,14/15,10.5,3.0,4.2,3.7
J.R. Smith,CLENYK,14/15,12.1,3.1,2.8,3.7
Wilson Chandler,DEN,14/15,13.9,6.1,1.7,3.6
Boris Diaw,SAS,14/15,8.7,4.3,2.9,3.6
Deron Williams,BRK,14/15,13.0,3.5,6.6,3.6
Monta Ellis,DAL,14/15,18.9,2.4,4.1,3.6
John Henson,MIL,14/15,7.0,4.7,0.9,3.6
Chris Bosh,MIA,14/15,21.1,7.0,2.2,3.6
Jamal Crawford,LAC,14/15,15.8,1.9,2.5,3.6
Trevor Booker,UTA,14/15,7.2,5.0,1.1,3.6
Amar'e Stoudemire,DALNYK,14/15,11.5,5.6,0.8,3.6
C.J. Miles,IND,14/15,13.5,3.1,1.1,3.6
Gerald Henderson,CHO,14/15,12.1,3.4,2.6,3.6
Beno Udrih,MEM,14/15,7.7,1.8,2.8,3.6
Chris Andersen,MIA,14/15,5.3,5.0,0.7,3.6
