Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP
Tracy McGrady,HOU,08/09,15.6,4.4,5.0,0.646,2.7,0
Renaldo Balkman,DEN,08/09,5.0,3.8,0.6,0.659,2.6,0
Von Wafer,HOU,08/09,9.7,1.8,1.1,0.646,2.6,0
Andrew Bogut,MIL,08/09,11.7,10.2,2.0,0.415,2.6,0
Carlos Boozer,UTA,08/09,16.2,10.4,2.1,0.585,2.6,0
Kirk Hinrich,CHI,08/09,9.9,2.4,3.9,0.5,2.6,0
Ryan Gomes,MIN,08/09,13.3,4.8,1.6,0.293,2.5,0
Ryan Anderson,NJN,08/09,7.4,4.7,0.8,0.415,2.5,0
Darius Songaila,WAS,08/09,7.4,2.9,1.2,0.232,2.4,0
Francisco García,SAC,08/09,12.7,3.4,2.3,0.207,2.4,0
Willie Green,PHI,08/09,8.5,1.6,2.0,0.5,2.3,0
JJ Redick,ORL,08/09,6.0,1.7,1.1,0.72,2.3,0
Chauncey Billups,DET,07/08,17.0,2.7,6.8,0.72,13.5,0
Allen Iverson,DEN,07/08,26.4,3.0,7.1,0.61,11.6,0
José Calderón,TOR,07/08,11.2,2.9,8.3,0.5,10.2,0
Chris Bosh,TOR,07/08,22.3,8.7,2.6,0.5,10.1,0
Tyson Chandler,NOH,07/08,11.8,11.7,1.0,0.683,10.0,0
Rashard Lewis,ORL,07/08,18.2,5.4,2.4,0.634,9.8,0
Ray Allen,BOS,07/08,17.4,3.7,3.1,0.805,9.7,0
Lamar Odom,LAL,07/08,14.2,10.6,3.5,0.695,9.7,0
Andre Iguodala,PHI,07/08,19.9,5.4,4.8,0.488,9.6,0
Hedo Türkoğlu,ORL,07/08,19.5,5.7,5.0,0.634,9.0,0
Monta Ellis,GSW,07/08,20.2,5.0,3.9,0.585,9.0,0
Baron Davis,GSW,07/08,21.8,4.7,7.6,0.585,8.7,0
Jason Terry,DAL,07/08,15.5,2.5,3.2,0.622,8.6,0
Mike Dunleavy,IND,07/08,19.1,5.2,3.5,0.439,8.5,0
Marcus Camby,DEN,07/08,9.1,13.1,3.3,0.61,8.5,0
Kevin Martin,SAC,07/08,23.7,4.5,2.1,0.463,8.4,0
David West,NOH,07/08,20.6,8.9,2.3,0.683,8.4,0
Yao Ming,HOU,07/08,22.0,10.8,2.3,0.671,8.3,0
Andre Miller,PHI,07/08,17.0,4.0,6.9,0.488,8.3,0
Shane Battier,HOU,07/08,9.3,5.1,1.9,0.671,8.2,0
Peja Stojaković,NOH,07/08,16.4,4.3,1.2,0.683,8.1,0
Josh Howard,DAL,07/08,19.9,7.0,2.2,0.622,8.0,0
Andris Biedriņš,GSW,07/08,10.5,9.8,1.0,0.585,8.0,0
Brandon Roy,POR,07/08,19.1,4.7,5.8,0.5,8.0,0
Ronnie Brewer,UTA,07/08,12.0,2.9,1.8,0.659,7.8,0
Vince Carter,NJN,07/08,21.3,6.0,5.1,0.415,7.7,0
Al Jefferson,MIN,07/08,21.0,11.1,1.4,0.268,7.7,0
Richard Hamilton,DET,07/08,17.3,3.3,4.2,0.72,7.7,0
Richard Jefferson,NJN,07/08,22.6,4.2,3.1,0.415,7.6,0
Josh Childress,ATL,07/08,11.8,4.9,1.5,0.451,7.6,0
Tayshaun Prince,DET,07/08,13.2,4.9,3.3,0.72,7.5,0
Jason Richardson,CHO,07/08,21.8,5.4,3.1,0.39,7.4,0
David Lee,NYK,07/08,10.8,8.9,1.2,0.28,7.4,0
Danny Granger,IND,07/08,19.6,6.1,2.1,0.439,7.3,0
Caron Butler,WAS,07/08,20.3,6.7,4.9,0.524,7.2,0
Rajon Rondo,BOS,07/08,10.6,4.2,5.1,0.805,7.2,0
Andrei Kirilenko,UTA,07/08,11.0,4.7,4.0,0.659,7.1,0
Tony Parker,SAS,07/08,18.8,3.2,6.0,0.683,7.0,0
Joe Johnson,ATL,07/08,21.7,4.5,5.8,0.451,7.0,0
Corey Maggette,LAC,07/08,22.1,5.6,2.7,0.28,6.9,0
Samuel Dalembert,PHI,07/08,10.5,10.4,0.5,0.488,6.9,0
Brendan Haywood,WAS,07/08,10.6,7.2,0.9,0.524,6.8,0
Antonio McDyess,DET,07/08,8.8,8.5,1.1,0.72,6.7,0
Mehmet Okur,UTA,07/08,14.5,7.7,2.0,0.659,6.7,0
Brad Miller,SAC,07/08,13.4,9.5,3.7,0.463,6.5,0
Luis Scola,HOU,07/08,10.3,6.4,1.3,0.671,6.5,0
Jeff Foster,IND,07/08,6.4,8.7,1.7,0.439,6.5,0
Jason Maxiell,DET,07/08,7.9,5.3,0.6,0.72,6.3,0
LaMarcus Aldridge,POR,07/08,17.8,7.6,1.6,0.5,6.2,0
Anthony Parker,TOR,07/08,12.5,4.1,2.2,0.5,6.2,0
James Posey,BOS,07/08,7.4,4.4,1.5,0.805,6.2,0
Troy Murphy,IND,07/08,12.2,7.2,2.2,0.439,6.2,0
Kendrick Perkins,BOS,07/08,6.9,6.1,1.1,0.805,6.2,0
Fabricio Oberto,SAS,07/08,4.8,5.2,1.2,0.683,6.1,0
Zydrunas Ilgauskas,CLE,07/08,14.1,9.3,1.4,0.549,6.1,0
Erick Dampier,DAL,07/08,6.1,7.5,0.9,0.622,6.0,0
Grant Hill,PHO,07/08,13.1,5.0,2.9,0.671,5.9,0
Michael Redd,MIL,07/08,22.7,4.3,3.4,0.317,5.8,0
Emeka Okafor,CHO,07/08,13.8,10.7,0.9,0.39,5.8,0
Josh Smith,ATL,07/08,17.2,8.2,3.4,0.451,5.8,0
Marvin Williams,ATL,07/08,14.8,5.7,1.7,0.451,5.7,0
Derek Fisher,LAL,07/08,11.7,2.1,2.9,0.695,5.7,0
Jamario Moon,TOR,07/08,8.5,6.2,1.2,0.5,5.7,0
Jameer Nelson,ORL,07/08,10.9,3.5,5.6,0.634,5.6,0
Leandro Barbosa,PHO,07/08,15.6,2.8,2.6,0.671,5.5,0
Al Horford,ATL,07/08,10.1,9.7,1.5,0.451,5.5,0
Al Harrington,GSW,07/08,13.6,5.4,1.6,0.585,5.4,0
Paul Millsap,UTA,07/08,8.1,5.6,1.0,0.659,5.2,0
Ben Gordon,CHI,07/08,18.6,3.1,3.0,0.402,5.1,0
Jamal Crawford,NYK,07/08,20.6,2.6,5.0,0.28,5.0,0
Mike Miller,MEM,07/08,16.4,6.7,3.4,0.268,5.0,0
Rudy Gay,MEM,07/08,20.1,6.2,2.0,0.268,5.0,0
Kenyon Martin,DEN,07/08,12.4,6.5,1.3,0.61,5.0,0
Rafer Alston,HOU,07/08,13.1,3.5,5.3,0.671,5.0,0
Keith Bogans,ORL,07/08,8.7,3.2,1.3,0.634,4.9,0
Ryan Gomes,MIN,07/08,12.6,5.8,1.8,0.268,4.8,0
Andrew Bogut,MIL,07/08,14.3,9.8,2.6,0.317,4.8,0
Andrew Bynum,LAL,07/08,13.1,10.2,1.7,0.695,4.8,0
Linas Kleiza,DEN,07/08,11.1,4.2,1.2,0.61,4.7,0
Metta World Peace,SAC,07/08,20.5,5.8,3.5,0.463,4.7,0
Gerald Wallace,CHO,07/08,19.4,6.0,3.5,0.39,4.6,0
Stephen Jackson,GSW,07/08,20.1,4.4,4.1,0.585,4.6,0
Mikki Moore,SAC,07/08,8.5,6.0,1.0,0.463,4.6,0
Mo Williams,MIL,07/08,17.2,3.5,6.3,0.317,4.5,0
Nick Collison,OKC,07/08,9.8,9.4,1.4,0.244,4.5,0
Thaddeus Young,PHI,07/08,8.2,4.2,0.8,0.488,4.5,0
Raja Bell,PHO,07/08,11.9,3.7,2.2,0.671,4.5,0
Antonio Daniels,WAS,07/08,8.4,2.9,4.8,0.524,4.5,0
Chuck Hayes,HOU,07/08,3.0,5.4,1.2,0.671,4.4,0
Lou Williams,PHI,07/08,11.5,2.1,3.2,0.488,4.4,0
Bruce Bowen,SAS,07/08,6.0,2.9,1.1,0.683,4.4,0
Luol Deng,CHI,07/08,17.0,6.3,2.5,0.402,4.4,0
Leon Powe,BOS,07/08,7.9,4.1,0.3,0.805,4.3,0
Brandon Bass,DAL,07/08,8.3,4.4,0.7,0.622,4.3,0
Joel Przybilla,POR,07/08,4.8,8.4,0.4,0.5,4.3,0
Francisco García,SAC,07/08,12.3,3.3,1.6,0.463,4.2,0
Ronny Turiaf,LAL,07/08,6.6,3.9,1.6,0.695,4.2,0
Michael Finley,SAS,07/08,10.1,3.1,1.4,0.683,4.2,0
DeShawn Stevenson,WAS,07/08,11.2,2.9,3.1,0.524,4.1,0
Eduardo Nájera,DEN,07/08,5.9,4.3,1.2,0.61,4.1,0
Daniel Gibson,CLE,07/08,10.4,2.3,2.5,0.549,4.1,0
Carlos Delfino,TOR,07/08,9.0,4.4,1.8,0.5,4.0,0
Jordan Farmar,LAL,07/08,9.1,2.2,2.7,0.695,3.9,0
Eddie House,BOS,07/08,7.5,2.1,1.9,0.805,3.9,0
Rasho Nesterović,TOR,07/08,7.8,4.8,1.2,0.5,3.9,0
Joakim Noah,CHI,07/08,6.6,5.6,1.1,0.402,3.8,0
Steve Blake,POR,07/08,8.5,2.4,5.1,0.5,3.8,0
Morris Peterson,NOH,07/08,8.0,2.7,0.9,0.683,3.8,0
Anthony Carter,DEN,07/08,7.8,2.9,5.5,0.61,3.8,0
J.R. Smith,DEN,07/08,12.3,2.1,1.7,0.61,3.7,0
Carl Landry,HOU,07/08,8.1,4.9,0.5,0.671,3.7,0
James Jones,POR,07/08,8.0,2.8,0.6,0.5,3.7,0
John Salmons,SAC,07/08,12.5,4.3,2.6,0.463,3.7,0
Josh Boone,NJN,07/08,8.2,7.3,0.8,0.415,3.7,0
Keyon Dooling,ORL,07/08,8.1,1.4,1.8,0.634,3.7,0
Sasha Vujačić,LAL,07/08,8.8,2.1,1.0,0.695,3.6,0
Chris Kaman,LAC,07/08,15.7,12.7,1.9,0.28,3.6,0
Kirk Hinrich,CHI,07/08,11.5,3.3,6.0,0.402,3.6,0
Craig Smith,MIN,07/08,9.4,4.6,0.8,0.268,3.5,0
Martell Webster,POR,07/08,10.7,3.9,1.2,0.5,3.5,0
Vladimir Radmanović,LAL,07/08,8.4,3.3,1.9,0.695,3.5,0
Luther Head,HOU,07/08,7.6,1.8,1.9,0.671,3.5,0
Roger Mason,WAS,07/08,9.0,1.6,1.7,0.524,3.4,0
Kyle Lowry,MEM,07/08,9.6,3.0,3.6,0.268,3.4,0
Kelenna Azubuike,GSW,07/08,8.5,4.0,0.9,0.585,3.4,0
Chris Wilcox,OKC,07/08,13.4,7.0,1.2,0.244,3.4,0
Raymond Felton,CHO,07/08,14.4,3.0,7.4,0.39,3.4,0
Dwyane Wade,MIA,07/08,24.6,4.2,6.9,0.183,3.3,0
Hakim Warrick,MEM,07/08,11.4,4.7,0.7,0.268,3.3,0
T.J. Ford,TOR,07/08,12.1,2.0,6.1,0.5,3.3,0
Andrés Nocioni,CHI,07/08,13.2,4.2,1.2,0.402,3.3,0
Nate Robinson,NYK,07/08,12.7,3.1,2.9,0.28,3.2,0
Travis Outlaw,POR,07/08,13.3,4.6,1.3,0.5,3.2,0
Channing Frye,POR,07/08,6.8,4.5,0.7,0.5,3.2,0
Jarrett Jack,POR,07/08,9.9,2.9,3.8,0.5,3.2,0
Luke Walton,LAL,07/08,7.2,3.9,2.9,0.695,3.2,0
Boris Diaw,PHO,07/08,8.8,4.6,3.9,0.671,3.0,0
Amir Johnson,DET,07/08,3.6,3.8,0.5,0.72,3.0,0
Damon Jones,CLE,07/08,6.5,1.1,1.9,0.549,3.0,0
Andray Blatche,WAS,07/08,7.5,5.2,1.1,0.524,3.0,0
Matt Carroll,CHO,07/08,9.0,2.8,0.9,0.39,3.0,0
Zach Randolph,NYK,07/08,17.6,10.3,2.0,0.28,3.0,0
Jared Dudley,CHO,07/08,5.8,3.9,1.1,0.39,2.9,0
Jarvis Hayes,DET,07/08,6.7,2.2,0.8,0.72,2.9,0
Earl Watson,OKC,07/08,10.7,2.9,6.8,0.244,2.9,0
Mickaël Piétrus,GSW,07/08,7.2,3.7,0.7,0.585,2.8,0
Carlos Arroyo,ORL,07/08,6.9,1.8,3.5,0.634,2.8,0
Ime Udoka,SAS,07/08,5.8,3.1,0.9,0.683,2.8,0
Matt Harpring,UTA,07/08,8.2,3.2,1.1,0.659,2.8,0
Reggie Evans,PHI,07/08,5.2,7.5,0.8,0.488,2.7,0
Tony Allen,BOS,07/08,6.6,2.2,1.5,0.805,2.7,0
Chris Quinn,MIA,07/08,7.8,2.0,3.0,0.183,2.6,0
Glen Davis,BOS,07/08,4.5,3.0,0.4,0.805,2.5,0
Udonis Haslem,MIA,07/08,12.0,9.0,1.4,0.183,2.5,0
Travis Diener,IND,07/08,6.9,1.7,3.8,0.439,2.5,0
Sean Williams,NJN,07/08,5.6,4.4,0.4,0.415,2.5,0
Tyrus Thomas,CHI,07/08,6.8,4.6,1.2,0.402,2.4,0
Marko Jarić,MIN,07/08,8.3,3.0,4.1,0.268,2.4,0
Beno Udrih,SAC,07/08,12.8,3.3,4.3,0.463,2.4,0
Devin Brown,CLE,07/08,7.5,3.4,2.2,0.549,2.4,0
Anderson Varejão,CLE,07/08,6.7,8.3,1.1,0.549,2.4,0
Brent Barry,SAS,07/08,7.1,1.8,1.7,0.683,2.3,0
Chris Duhon,CHI,07/08,5.8,1.8,4.0,0.402,2.3,0
Dikembe Mutombo,HOU,07/08,3.0,5.1,0.1,0.671,2.3,0
Kevin Durant,OKC,07/08,20.3,4.4,2.4,0.244,2.3,0
Jerry Stackhouse,DAL,07/08,10.7,2.3,2.5,0.622,2.3,0
Matt Barnes,GSW,07/08,6.7,4.4,1.9,0.585,2.3,0
DeAndre Jordan,LAC,15/16,12.7,13.8,1.2,0.646,11.5,0
Hassan Whiteside,MIA,15/16,14.2,11.8,0.4,0.585,10.3,0
LaMarcus Aldridge,SAS,15/16,18.0,8.5,1.5,0.817,10.1,0
Paul Millsap,ATL,15/16,17.1,9.0,3.3,0.585,10.1,0
Kemba Walker,CHO,15/16,20.9,4.4,5.2,0.585,9.9,0
DeMar DeRozan,TOR,15/16,23.5,4.5,4.0,0.683,9.9,0
Isaiah Thomas,BOS,15/16,22.2,3.0,6.2,0.585,9.7,0
Al Horford,ATL,15/16,15.2,7.3,3.2,0.585,9.4,0
Paul George,IND,15/16,23.1,7.0,4.1,0.549,9.2,0
Jimmy Butler,CHI,15/16,20.9,5.3,4.8,0.512,9.1,0
Gordon Hayward,UTA,15/16,19.7,5.0,3.7,0.488,8.9,0
Tristan Thompson,CLE,15/16,7.8,9.0,0.8,0.695,8.7,0
Kevin Love,CLE,15/16,16.0,9.9,2.4,0.695,8.5,0
Karl-Anthony Towns,MIN,15/16,18.3,10.5,2.0,0.354,8.3,0
Enes Freedom,OKC,15/16,12.7,8.1,0.4,0.671,8.1,0
Klay Thompson,GSW,15/16,22.1,3.8,2.1,0.89,8.0,0
Marvin Williams,CHO,15/16,11.7,6.4,1.4,0.585,7.8,0
Greg Monroe,MIL,15/16,15.3,8.8,2.3,0.402,7.5,0
Andre Drummond,DET,15/16,16.2,14.8,0.8,0.537,7.4,0
Jae Crowder,BOS,15/16,14.2,5.1,1.8,0.585,7.3,0
Marcin Gortat,WAS,15/16,13.5,9.9,1.4,0.5,7.3,0
Anthony Davis,NOP,15/16,24.3,10.3,1.9,0.366,7.2,0
Derrick Favors,UTA,15/16,16.4,8.1,1.5,0.488,7.1,0
Pau Gasol,CHI,15/16,16.5,11.0,4.1,0.512,7.1,0
Giannis Antetokounmpo,MIL,15/16,16.9,7.6,4.3,0.402,7.1,0
Reggie Jackson,DET,15/16,18.8,3.2,6.2,0.537,6.9,0
Jonas Valančiūnas,TOR,15/16,12.8,9.1,0.7,0.683,6.9,0
Dirk Nowitzki,DAL,15/16,18.3,6.5,1.8,0.512,6.8,0
Ed Davis,POR,15/16,6.5,7.4,1.1,0.537,6.7,0
JJ Redick,LAC,15/16,16.3,1.9,1.4,0.646,6.7,0
Nikola Jokić,DEN,15/16,10.0,7.0,2.4,0.402,6.7,0
Dwight Howard,HOU,15/16,13.7,11.8,1.4,0.5,6.6,0
Steven Adams,OKC,15/16,8.0,6.7,0.8,0.671,6.5,0
Rudy Gobert,UTA,15/16,9.1,11.0,1.5,0.488,6.4,0
Luol Deng,MIA,15/16,12.3,6.0,1.9,0.585,6.4,0
Chris Bosh,MIA,15/16,19.1,7.4,2.4,0.585,6.4,0
Carmelo Anthony,NYK,15/16,21.8,7.7,4.2,0.39,6.4,0
Danilo Gallinari,DEN,15/16,19.5,5.3,2.5,0.402,6.3,0
Cody Zeller,CHO,15/16,8.7,6.2,1.0,0.585,6.3,0
George Hill,IND,15/16,12.1,4.0,3.5,0.549,6.2,0
Ian Mahinmi,IND,15/16,9.3,7.1,1.5,0.549,6.2,0
Brook Lopez,BRK,15/16,20.6,7.8,2.0,0.256,6.2,0
Khris Middleton,MIL,15/16,18.2,3.8,4.2,0.402,6.1,0
Mason Plumlee,POR,15/16,9.1,7.7,2.8,0.537,6.1,0
CJ McCollum,POR,15/16,20.8,3.2,4.3,0.537,6.0,0
Zaza Pachulia,DAL,15/16,8.6,9.4,1.7,0.512,6.0,0
Rodney Hood,UTA,15/16,14.5,3.4,2.7,0.488,6.0,0
Amir Johnson,BOS,15/16,7.3,6.4,1.7,0.585,5.9,0
Bismack Biyombo,TOR,15/16,5.5,8.0,0.4,0.683,5.9,0
Jeff Teague,ATL,15/16,15.7,2.7,5.9,0.585,5.9,0
Gorgui Dieng,MIN,15/16,10.1,7.1,1.7,0.354,5.9,0
Tony Parker,SAS,15/16,11.9,2.4,5.3,0.817,5.8,0
Robin Lopez,NYK,15/16,10.3,7.3,1.4,0.39,5.8,0
Ricky Rubio,MIN,15/16,10.1,4.3,8.7,0.354,5.8,0
John Wall,WAS,15/16,19.9,4.9,10.2,0.5,5.7,0
DeMarcus Cousins,SAC,15/16,26.9,11.5,3.3,0.402,5.7,0
Evan Fournier,ORL,15/16,15.4,2.8,2.7,0.427,5.7,0
Otto Porter Jr.,WAS,15/16,11.6,5.2,1.6,0.5,5.6,0
Kenneth Faried,DEN,15/16,12.5,8.7,1.2,0.402,5.5,0
Serge Ibaka,OKC,15/16,12.6,6.8,0.8,0.671,5.5,0
J.R. Smith,CLE,15/16,12.4,2.8,1.7,0.695,5.5,0
Andrew Bogut,GSW,15/16,5.4,7.0,2.3,0.89,5.4,0
Marcus Morris,DET,15/16,14.1,5.0,2.5,0.537,5.4,0
Aaron Gordon,ORL,15/16,9.2,6.5,1.6,0.427,5.4,0
David West,SAS,15/16,7.1,4.0,1.8,0.817,5.4,0
Trevor Ariza,HOU,15/16,12.7,4.5,2.3,0.5,5.4,0
Taj Gibson,CHI,15/16,8.6,6.9,1.5,0.512,5.4,0
Kentavious Caldwell-Pope,DET,15/16,14.5,3.7,1.8,0.537,5.3,0
Mike Conley,MEM,15/16,15.3,2.9,6.1,0.512,5.3,0
Darren Collison,SAC,15/16,14.0,2.3,4.3,0.402,5.2,0
Tim Duncan,SAS,15/16,8.6,7.3,2.7,0.817,5.2,0
Nikola Vučević,ORL,15/16,18.2,8.9,2.8,0.427,5.2,0
Kyrie Irving,CLE,15/16,19.6,3.0,4.7,0.695,5.0,0
Nicolas Batum,CHO,15/16,14.9,6.1,5.8,0.585,5.0,0
Harrison Barnes,GSW,15/16,11.7,4.9,1.8,0.89,4.9,0
Dwyane Wade,MIA,15/16,19.0,4.1,4.6,0.585,4.9,0
Victor Oladipo,ORL,15/16,16.0,4.8,3.9,0.427,4.9,0
Patty Mills,SAS,15/16,8.5,2.0,2.8,0.817,4.8,0
Jared Sullinger,BOS,15/16,10.3,8.3,2.3,0.585,4.8,0
Avery Bradley,BOS,15/16,15.2,2.9,2.1,0.585,4.8,0
Goran Dragić,MIA,15/16,14.1,3.8,5.8,0.585,4.7,0
Lou Williams,LAL,15/16,15.3,2.5,2.5,0.207,4.7,0
Jared Dudley,WAS,15/16,7.9,3.5,2.1,0.5,4.6,0
Shaun Livingston,GSW,15/16,6.3,2.2,3.0,0.89,4.6,0
Rajon Rondo,SAC,15/16,11.9,6.0,11.7,0.402,4.6,0
Thabo Sefolosha,ATL,15/16,6.4,4.5,1.4,0.585,4.5,0
Clint Capela,HOU,15/16,7.0,6.4,0.6,0.5,4.4,0
Andre Iguodala,GSW,15/16,7.0,4.0,3.4,0.89,4.4,0
Patrick Beverley,HOU,15/16,9.9,3.5,3.4,0.5,4.4,0
Kristaps Porziņģis,NYK,15/16,14.3,7.3,1.3,0.39,4.4,0
Trevor Booker,UTA,15/16,5.9,5.7,1.1,0.488,4.3,0
Zach Randolph,MEM,15/16,15.3,7.8,2.1,0.512,4.3,0
Allen Crabbe,POR,15/16,10.3,2.7,1.2,0.537,4.3,0
Will Barton,DEN,15/16,14.4,5.8,2.5,0.402,4.3,0
Chandler Parsons,DAL,15/16,13.7,4.7,2.8,0.512,4.3,0
Monta Ellis,IND,15/16,13.8,3.3,4.7,0.549,4.3,0
Danny Green,SAS,15/16,7.2,3.8,1.8,0.817,4.2,0
Brandon Bass,LAL,15/16,7.2,4.3,1.1,0.207,4.1,0
Kelly Olynyk,BOS,15/16,10.0,4.1,1.5,0.585,4.1,0
Kent Bazemore,ATL,15/16,11.6,5.1,2.3,0.585,4.1,0
Andrew Wiggins,MIN,15/16,20.7,3.6,2.0,0.354,4.1,0
Kyle Korver,ATL,15/16,9.2,3.2,2.0,0.585,4.1,0
Aron Baynes,DET,15/16,6.3,4.7,0.6,0.537,4.1,0
Thaddeus Young,BRK,15/16,15.1,9.0,1.9,0.256,4.1,0
José Calderón,NYK,15/16,7.6,3.2,4.1,0.39,4.0,0
Evan Turner,BOS,15/16,10.5,4.9,4.4,0.585,4.0,0
Gary Harris,DEN,15/16,12.3,2.9,1.9,0.402,4.0,0
Al-Farouq Aminu,POR,15/16,10.2,6.1,1.7,0.537,4.0,0
Nikola Mirotić,CHI,15/16,11.8,5.5,1.5,0.512,3.9,0
Jordan Hill,IND,15/16,8.8,6.2,1.2,0.549,3.9,0
Ryan Anderson,NOP,15/16,17.0,6.0,1.1,0.366,3.9,0
Rudy Gay,SAC,15/16,17.2,6.5,1.7,0.402,3.8,0
Mirza Teletović,PHO,15/16,12.2,3.8,1.1,0.28,3.8,0
Willie Cauley-Stein,SAC,15/16,7.0,5.3,0.6,0.402,3.8,0
Blake Griffin,LAC,15/16,21.4,8.4,4.9,0.646,3.8,0
Boris Diaw,SAS,15/16,6.4,3.1,2.3,0.817,3.8,0
Matthew Dellavedova,CLE,15/16,7.5,2.1,4.4,0.695,3.8,0
Ramon Sessions,WAS,15/16,9.9,2.5,2.9,0.5,3.8,0
Manu Ginóbili,SAS,15/16,9.6,2.5,3.1,0.817,3.8,0
Tyson Chandler,PHO,15/16,7.2,8.7,1.0,0.28,3.8,0
Wesley Matthews,DAL,15/16,12.5,3.1,1.9,0.512,3.7,0
Lavoy Allen,IND,15/16,5.4,5.4,1.0,0.549,3.7,0
Timofey Mozgov,CLE,15/16,6.2,4.4,0.4,0.695,3.7,0
Marc Gasol,MEM,15/16,16.6,7.0,3.8,0.512,3.7,0
Deron Williams,DAL,15/16,14.1,2.9,5.8,0.512,3.7,0
Terrence Ross,TOR,15/16,9.9,2.5,0.8,0.683,3.6,0
Patrick Patterson,TOR,15/16,6.9,4.3,1.2,0.683,3.6,0
Jabari Parker,MIL,15/16,14.1,5.2,1.7,0.402,3.6,0
Omri Casspi,SAC,15/16,11.8,5.9,1.4,0.402,3.6,0
Derrick Williams,NYK,15/16,9.3,3.7,0.9,0.39,3.6,0
Jeremy Lin,CHO,15/16,11.7,3.2,3.0,0.585,3.5,0
Cory Joseph,TOR,15/16,8.5,2.6,3.1,0.683,3.5,0
Cole Aldrich,LAC,15/16,5.5,4.8,0.8,0.646,3.5,0
Kosta Koufos,SAC,15/16,6.8,5.4,0.4,0.402,3.5,0
P.J. Tucker,PHO,15/16,8.0,6.2,2.2,0.28,3.5,0
Kyle Anderson,SAS,15/16,4.5,3.1,1.6,0.817,3.5,0
Boban Marjanović,SAS,15/16,5.5,3.6,0.4,0.817,3.4,0
Andre Roberson,OKC,15/16,4.8,3.6,0.7,0.671,3.4,0
Jrue Holiday,NOP,15/16,16.8,3.0,6.0,0.366,3.4,0
Jamal Crawford,LAC,15/16,14.2,1.8,2.3,0.646,3.3,0
Luis Scola,TOR,15/16,8.7,4.7,0.9,0.683,3.3,0
Frank Kaminsky,CHO,15/16,7.5,4.1,1.2,0.585,3.3,0
Langston Galloway,NYK,15/16,7.6,3.5,2.5,0.39,3.3,0
Mike Scott,ATL,15/16,6.2,2.7,1.0,0.585,3.2,0
C.J. Miles,IND,15/16,11.8,2.7,1.0,0.549,3.1,0
Dwight Powell,DAL,15/16,5.8,4.0,0.6,0.512,3.1,0
Myles Turner,IND,15/16,10.3,5.5,0.7,0.549,3.1,0
Nerlens Noel,PHI,15/16,11.1,8.1,1.8,0.122,3.0,0
Maurice Harkless,POR,15/16,6.4,3.6,0.9,0.537,2.9,0
Marcus Smart,BOS,15/16,9.1,4.2,3.0,0.585,2.9,0
J.J. Barea,DAL,15/16,10.9,2.1,4.1,0.512,2.8,0
Doug McDermott,CHI,15/16,9.4,2.4,0.7,0.512,2.8,0
Anthony Tolliver,DET,15/16,5.3,3.2,0.7,0.537,2.8,0
Al Jefferson,CHO,15/16,12.0,6.4,1.5,0.585,2.8,0
Festus Ezeli,GSW,15/16,7.0,5.6,0.7,0.89,2.7,0
Nenê,WAS,15/16,9.2,4.5,1.7,0.5,2.7,0
Richard Jefferson,CLE,15/16,5.5,1.7,0.8,0.695,2.7,0
Jeremy Lamb,CHO,15/16,8.8,3.8,1.2,0.585,2.7,0
Bradley Beal,WAS,15/16,17.4,3.4,2.9,0.5,2.7,0
Shabazz Muhammad,MIN,15/16,10.5,3.3,0.6,0.354,2.7,0
Arron Afflalo,NYK,15/16,12.8,3.7,2.0,0.39,2.7,0
Garrett Temple,WAS,15/16,7.3,2.6,1.8,0.5,2.7,0
Jon Leuer,PHO,15/16,8.5,5.6,1.1,0.28,2.7,0
Raymond Felton,DAL,15/16,9.5,3.2,3.6,0.512,2.7,0
Wesley Johnson,LAC,15/16,6.9,3.1,0.6,0.646,2.6,0
JaMychal Green,MEM,15/16,7.4,4.8,0.9,0.512,2.6,0
Zach LaVine,MIN,15/16,14.0,2.8,3.1,0.354,2.6,0
Matt Barnes,MEM,15/16,10.0,5.5,2.1,0.512,2.6,0
Eric Bledsoe,PHO,15/16,20.4,4.0,6.1,0.28,2.5,0
Devin Harris,DAL,15/16,7.6,2.2,1.8,0.512,2.5,0
Justise Winslow,MIA,15/16,6.4,5.2,1.5,0.585,2.5,0
Josh Richardson,MIA,15/16,6.6,2.1,1.4,0.585,2.5,0
Quincy Acy,SAC,15/16,5.2,3.2,0.5,0.402,2.5,0
Toney Douglas,NOP,15/16,8.7,2.3,2.6,0.366,2.5,0
Tony Allen,MEM,15/16,8.4,4.6,1.1,0.512,2.4,0
Jonas Jerebko,BOS,15/16,4.4,3.7,0.8,0.585,2.4,0
Amar'e Stoudemire,MIA,15/16,5.8,4.3,0.5,0.585,2.4,0
Dewayne Dedmon,ORL,15/16,4.4,3.9,0.2,0.427,2.4,0
Jerryd Bayless,MIL,15/16,10.4,2.7,3.1,0.402,2.4,0
Jeff Withey,UTA,15/16,4.3,3.4,0.4,0.488,2.3,0
John Henson,MIL,15/16,7.0,3.9,0.9,0.402,2.3,0
Chauncey Billups,DET,04/05,16.4,3.4,5.8,0.659,12.1,0
Stephon Marbury,NYK,04/05,21.7,3.0,8.1,0.402,11.7,0
Paul Pierce,BOS,04/05,21.6,6.6,4.2,0.549,11.2,0
Manu Ginóbili,SAS,04/05,16.0,4.4,3.9,0.72,11.0,0
