Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Kyrie Irving,CLE,12/13,22.5,3.7,5.9,0.293,5.3,0,108,110,21.4,3.7,30.2,3.0
Tristan Thompson,CLE,12/13,11.7,9.4,1.3,0.293,5.2,0,108,108,16.1,-1.8,18.3,0.1
Nick Collison,OKC,12/13,5.1,4.1,1.5,0.732,5.2,0,123,104,13.6,0.9,11.5,1.2
Mario Chalmers,MIA,12/13,8.6,2.2,3.5,0.805,5.2,0,110,104,13.3,0.4,16.1,1.3
Tony Allen,MEM,12/13,8.9,4.6,1.2,0.683,5.1,0,102,98,13.2,0.4,17.8,1.2
Joe Johnson,BRK,12/13,16.2,3.0,3.5,0.598,5.1,0,109,111,14.1,0.0,21.7,1.3
Isaiah Thomas,SAC,12/13,13.9,2.0,4.0,0.341,5.0,0,115,115,17.5,0.5,23.0,1.3
Dirk Nowitzki,DAL,12/13,17.3,6.8,2.5,0.5,5.0,0,111,106,19.8,3.1,24.2,2.2
Andray Blatche,BRK,12/13,10.3,5.1,1.0,0.598,4.9,0,107,101,21.9,2.2,26.5,1.6
Dorell Wright,PHI,12/13,9.2,3.8,1.9,0.415,4.9,0,112,105,16.0,2.6,18.7,2.1
JaVale McGee,DEN,12/13,9.1,4.8,0.3,0.695,4.9,0,112,102,20.7,1.6,21.1,1.3
Jared Dudley,PHO,12/13,10.9,3.1,2.6,0.305,4.8,0,114,111,14.9,0.6,17.2,1.5
Kemba Walker,CHO,12/13,17.7,3.5,5.7,0.256,4.8,0,105,111,18.8,1.4,25.6,2.4
Brandon Bass,BOS,12/13,8.7,5.2,1.0,0.506,4.7,0,107,104,12.3,-1.9,15.5,0.1
DeMar DeRozan,TOR,12/13,18.1,3.9,2.5,0.415,4.7,0,105,110,14.7,-1.4,24.2,0.4
Jeff Green,BOS,12/13,12.8,3.9,1.6,0.506,4.7,0,104,104,15.0,-0.3,22.2,1.0
