Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Dirk Nowitzki,DAL,04/05,26.1,9.7,3.1,0.707,15.6,0,3
Tim Duncan,SAS,04/05,20.3,11.1,2.7,0.72,11.2,0,2
Allen Iverson,PHI,04/05,30.7,4.0,7.9,0.524,9.0,0,12
LeBron James,CLE,04/05,27.2,7.4,7.2,0.512,14.3,0,13
Tracy McGrady,HOU,04/05,25.7,6.2,5.7,0.622,12.0,0,6
Dwyane Wade,MIA,04/05,24.1,5.2,6.8,0.72,11.0,0,2
Amar'e Stoudemire,PHO,04/05,26.0,8.9,1.6,0.756,14.6,0,1
Ray Allen,OKC,04/05,23.9,4.4,3.7,0.634,10.7,0,5
Kevin Garnett,MIN,04/05,22.2,13.5,5.7,0.537,16.1,0,11
Gilbert Arenas,WAS,04/05,25.5,4.7,5.1,0.549,11.5,0,10
P.J. Brown,NOH,04/05,10.8,9.0,2.2,0.22,6.9,0,21
Marcus Camby,DEN,04/05,10.3,10.0,2.3,0.598,5.8,0,8
Shawn Marion,PHO,04/05,19.4,11.3,1.9,0.756,12.5,0,1
Giannis Antetokounmpo,MIL,19/20,29.5,13.6,5.6,0.767,11.1,1,1
LeBron James,LAL,19/20,25.3,7.8,10.2,0.732,9.8,0,3
James Harden,HOU,19/20,34.3,6.6,7.5,0.611,13.1,0,8
Luka Dončić,DAL,19/20,28.8,9.4,8.8,0.573,8.8,0,11
Kawhi Leonard,LAC,19/20,27.1,7.1,4.9,0.681,8.7,0,4
Anthony Davis,LAL,19/20,26.1,9.3,3.2,0.732,11.1,0,3
Chris Paul,OKC,19/20,17.6,5.0,6.7,0.611,8.9,0,8
Damian Lillard,POR,19/20,30.0,4.3,8.0,0.473,11.6,0,13
Nikola Jokić,DEN,19/20,19.9,9.7,7.0,0.63,9.8,0,6
Pascal Siakam,TOR,19/20,22.9,7.3,3.5,0.736,5.4,0,2
Jimmy Butler,MIA,19/20,19.9,6.7,6.0,0.603,9.0,0,9
Jayson Tatum,BOS,19/20,23.4,7.0,3.0,0.667,6.9,0,5
LeBron James,CLE,08/09,28.4,7.6,7.2,0.805,20.3,1,1
Kobe Bryant,LAL,08/09,26.8,5.2,4.9,0.793,12.7,0,2
Dwyane Wade,MIA,08/09,30.2,5.0,7.5,0.524,14.7,0,12
Dwight Howard,ORL,08/09,20.6,13.8,1.4,0.72,13.8,0,4
Chris Paul,NOH,08/09,22.8,5.5,11.0,0.598,18.3,0,8
Paul Pierce,BOS,08/09,20.5,5.6,3.6,0.756,10.3,0,3
Tony Parker,SAS,08/09,22.0,3.1,6.9,0.659,8.6,0,5
Brandon Roy,POR,08/09,22.6,4.7,5.1,0.659,13.5,0,5
Dirk Nowitzki,DAL,08/09,25.9,8.4,2.4,0.61,10.9,0,7
Tim Duncan,SAS,08/09,19.3,10.7,3.5,0.659,10.1,0,5
Yao Ming,HOU,08/09,19.7,9.9,1.8,0.646,10.6,0,6
Clint Capela,HOU,18/19,16.6,12.7,1.4,0.646,10.8,0,5
Karl-Anthony Towns,MIN,18/19,24.4,12.4,3.4,0.439,10.4,0,14
Nikola Vučević,ORL,18/19,20.8,12.0,3.8,0.512,10.1,0,10
Andre Drummond,DET,18/19,17.3,15.6,1.4,0.5,10.0,0,11
Anthony Davis,NOP,18/19,25.9,12.0,3.9,0.402,9.5,0,15
LaMarcus Aldridge,SAS,18/19,21.3,9.2,2.4,0.585,9.3,0,9
Pascal Siakam,TOR,18/19,16.9,6.9,3.1,0.707,9.3,0,2
Kyrie Irving,BOS,18/19,23.8,5.0,6.9,0.598,9.1,0,8
Steven Adams,OKC,18/19,13.8,9.5,1.6,0.598,9.1,0,8
Montrezl Harrell,LAC,18/19,16.6,6.5,2.0,0.585,8.7,0,9
Ben Simmons,PHI,18/19,16.9,8.8,7.7,0.622,8.2,0,6
Eric Bledsoe,MIL,18/19,15.9,4.6,5.5,0.732,8.2,0,1
Danilo Gallinari,LAC,18/19,19.8,6.1,2.6,0.585,8.2,0,9
Mike Conley,MEM,18/19,21.1,3.4,6.4,0.402,8.0,0,15
Blake Griffin,DET,18/19,24.5,7.5,5.4,0.5,8.0,0,11
Derrick Favors,UTA,18/19,11.8,7.4,1.2,0.61,7.9,0,7
Jusuf Nurkić,POR,18/19,15.6,10.4,3.2,0.646,7.8,0,5
Jarrett Allen,BRK,18/19,10.9,8.4,1.4,0.512,7.6,0,10
Bradley Beal,WAS,18/19,25.6,5.0,5.5,0.39,7.6,0,16
Domantas Sabonis,IND,18/19,14.1,9.3,2.9,0.585,7.6,0,9
Dwight Powell,DAL,18/19,10.6,5.3,1.5,0.402,7.5,0,15
Al Horford,BOS,18/19,13.6,6.7,4.2,0.598,7.5,0,8
Kemba Walker,CHO,18/19,25.6,4.4,5.9,0.476,7.4,0,12
Jerami Grant,OKC,18/19,13.6,5.2,1.0,0.598,7.3,0,8
D.J. Augustin,ORL,18/19,11.7,2.5,5.3,0.512,6.9,0,10
Thaddeus Young,IND,18/19,12.6,6.5,2.5,0.585,6.9,0,9
Darren Collison,IND,18/19,11.2,3.1,6.0,0.585,6.8,0,9
Bam Adebayo,MIA,18/19,8.9,7.3,2.2,0.476,6.8,0,12
Bojan Bogdanović,IND,18/19,18.0,4.1,2.0,0.585,6.8,0,9
Willie Cauley-Stein,SAC,18/19,11.9,8.4,2.4,0.476,6.7,0,12
Brook Lopez,MIL,18/19,12.5,4.9,1.2,0.732,6.7,0,1
Kyle Lowry,TOR,18/19,14.2,4.8,8.7,0.707,6.6,0,2
Chris Paul,HOU,18/19,15.6,4.6,8.2,0.646,6.6,0,5
Malcolm Brogdon,MIL,18/19,15.6,4.5,3.2,0.732,6.5,0,1
Myles Turner,IND,18/19,13.3,7.2,1.6,0.585,6.3,0,9
Hassan Whiteside,MIA,18/19,12.3,11.3,0.8,0.476,6.3,0,12
DeMar DeRozan,SAS,18/19,21.2,6.0,6.2,0.585,6.3,0,9
Monte Morris,DEN,18/19,10.4,2.4,3.6,0.659,6.2,0,4
Mitchell Robinson,NYK,18/19,7.3,6.4,0.6,0.207,6.1,0,20
Khris Middleton,MIL,18/19,18.3,6.0,4.3,0.732,6.1,0,1
Paul Millsap,DEN,18/19,12.6,7.2,2.0,0.659,6.1,0,4
Serge Ibaka,TOR,18/19,15.0,8.1,1.3,0.707,6.1,0,2
Julius Randle,NOP,18/19,21.4,8.7,3.1,0.402,6.1,0,15
Joe Ingles,UTA,18/19,12.1,4.0,5.7,0.61,6.0,0,7
John Collins,ATL,18/19,19.5,9.8,2.0,0.354,6.0,0,17
Kevon Looney,GSW,18/19,6.2,5.2,1.5,0.695,6.0,0,3
JaVale McGee,LAL,18/19,12.0,7.5,0.7,0.451,5.9,0,13
Danny Green,TOR,18/19,10.3,4.0,1.6,0.707,5.9,0,2
Buddy Hield,SAC,18/19,20.7,5.0,2.5,0.476,5.9,0,12
JJ Redick,PHI,18/19,18.1,2.4,2.7,0.622,5.9,0,6
Deandre Ayton,PHO,18/19,16.3,10.3,1.8,0.232,5.8,0,19
Mason Plumlee,DEN,18/19,7.8,6.4,3.0,0.659,5.8,0,4
Al-Farouq Aminu,POR,18/19,9.4,7.5,1.3,0.646,5.8,0,5
