Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Tomáš Satoranský,WAS,18/19,8.9,3.5,5.0,0.39,4.7,0,16
Marcus Morris,BOS,18/19,13.9,6.1,1.5,0.598,4.5,0,8
Nemanja Bjelica,SAC,18/19,9.6,5.8,1.9,0.476,4.5,0,12
Malik Beasley,DEN,18/19,11.3,2.5,1.2,0.659,4.5,0,4
Rudy Gay,SAS,18/19,13.7,6.8,2.6,0.585,4.4,0,9
Jae Crowder,UTA,18/19,11.9,4.8,1.7,0.61,4.4,0,7
Nerlens Noel,OKC,18/19,4.9,4.2,0.6,0.598,4.3,0,8
Draymond Green,GSW,18/19,7.4,7.3,6.9,0.695,4.3,0,3
Fred VanVleet,TOR,18/19,11.0,2.6,4.8,0.707,4.3,0,2
Richaun Holmes,PHO,18/19,8.2,4.7,0.9,0.232,4.3,0,19
Terrence Ross,ORL,18/19,15.1,3.5,1.7,0.512,4.3,0,10
Andre Iguodala,GSW,18/19,5.7,3.7,3.2,0.695,4.2,0,3
Kentavious Caldwell-Pope,LAL,18/19,11.4,2.9,1.3,0.451,4.0,0,13
Dāvis Bertāns,SAS,18/19,8.0,3.5,1.3,0.585,4.0,0,9
Jonathan Isaac,ORL,18/19,9.6,5.5,1.1,0.512,4.0,0,10
Dewayne Dedmon,ATL,18/19,10.8,7.5,1.4,0.354,4.0,0,17
Pat Connaughton,MIL,18/19,6.9,4.2,2.0,0.732,3.9,0,1
Cody Zeller,CHO,18/19,10.1,6.8,2.1,0.476,3.9,0,12
Marvin Williams,CHO,18/19,10.1,5.4,1.2,0.476,3.8,0,12
Bryn Forbes,SAS,18/19,11.8,2.9,2.1,0.585,3.8,0,9
Ricky Rubio,UTA,18/19,12.7,3.6,6.1,0.61,3.7,0,7
Nicolas Batum,CHO,18/19,9.3,5.2,3.3,0.476,3.7,0,12
Ryan Arcidiacono,CHI,18/19,6.7,2.7,3.3,0.268,3.7,0,18
Derrick White,SAS,18/19,9.9,3.7,3.9,0.585,3.6,0,9
Jeff Green,WAS,18/19,12.3,4.0,1.8,0.39,3.6,0,16
Marvin Bagley III,SAC,18/19,14.9,7.6,1.0,0.476,3.6,0,12
Daniel Theis,BOS,18/19,5.7,3.4,1.0,0.598,3.5,0,8
Devin Booker,PHO,18/19,26.6,4.1,6.8,0.232,3.5,0,19
Cory Joseph,IND,18/19,6.5,3.4,3.9,0.585,3.5,0,9
Maxi Kleber,DAL,18/19,6.8,4.6,1.0,0.402,3.5,0,15
Patty Mills,SAS,18/19,9.9,2.2,3.0,0.585,3.5,0,9
Langston Galloway,DET,18/19,8.4,2.1,1.1,0.5,3.4,0,11
Maurice Harkless,POR,18/19,7.7,4.5,1.2,0.646,3.4,0,5
Shai Gilgeous-Alexander,LAC,18/19,10.8,2.8,3.3,0.585,3.3,0,9
Jaren Jackson Jr.,MEM,18/19,13.8,4.7,1.1,0.402,3.3,0,15
Jonas Jerebko,GSW,18/19,6.3,3.9,1.3,0.695,3.3,0,3
Dorian Finney-Smith,DAL,18/19,7.5,4.8,1.2,0.402,3.3,0,15
Royce O'Neale,UTA,18/19,5.2,3.5,1.5,0.61,3.3,0,7
Trae Young,ATL,18/19,19.1,3.7,8.1,0.354,3.3,0,17
Evan Fournier,ORL,18/19,15.1,3.2,3.6,0.512,3.2,0,10
Noah Vonleh,NYK,18/19,8.4,7.8,1.9,0.207,3.2,0,20
Terry Rozier,BOS,18/19,9.0,3.9,2.9,0.598,3.2,0,8
Alex Len,ATL,18/19,11.1,5.5,1.1,0.354,3.2,0,17
Tony Snell,MIL,18/19,6.0,2.1,0.9,0.732,3.2,0,1
DeMarre Carroll,BRK,18/19,11.1,5.2,1.3,0.512,3.1,0,10
Kyle Kuzma,LAL,18/19,18.7,5.5,2.5,0.451,3.1,0,13
Jake Layman,POR,18/19,7.6,3.1,0.7,0.646,3.1,0,5
Ersan İlyasova,MIL,18/19,6.8,4.5,0.8,0.732,3.0,0,1
Jaylen Brown,BOS,18/19,13.0,4.2,1.4,0.598,3.0,0,8
Torrey Craig,DEN,18/19,5.7,3.5,1.0,0.659,3.0,0,4
Meyers Leonard,POR,18/19,5.9,3.8,1.2,0.646,3.0,0,5
Juancho Hernangómez,DEN,18/19,5.8,3.8,0.8,0.659,3.0,0,4
Tyus Jones,MIN,18/19,6.9,2.0,4.8,0.439,3.0,0,14
Derrick Rose,MIN,18/19,18.0,2.7,4.3,0.439,3.0,0,14
Zach Collins,POR,18/19,6.6,4.2,0.9,0.646,2.9,0,5
Miles Bridges,CHO,18/19,7.5,4.0,1.2,0.476,2.9,0,12
Derrick Jones Jr.,MIA,18/19,7.0,4.0,0.6,0.476,2.9,0,12
Mikal Bridges,PHO,18/19,8.3,3.2,2.1,0.232,2.9,0,19
Doug McDermott,IND,18/19,7.3,1.4,0.9,0.585,2.9,0,9
Dennis Schröder,OKC,18/19,15.5,3.6,4.1,0.598,2.9,0,8
T.J. McConnell,PHI,18/19,6.4,2.3,3.4,0.622,2.9,0,6
Khem Birch,ORL,18/19,4.8,3.8,0.8,0.512,2.8,0,10
Gorgui Dieng,MIN,18/19,6.4,4.1,0.9,0.439,2.8,0,14
Terrance Ferguson,OKC,18/19,6.9,1.9,1.0,0.598,2.8,0,8
Zach LaVine,CHI,18/19,23.7,4.7,4.5,0.268,2.8,0,18
Justise Winslow,MIA,18/19,12.6,5.4,4.3,0.476,2.8,0,12
Lauri Markkanen,CHI,18/19,18.7,9.0,1.4,0.268,2.7,0,18
Bogdan Bogdanović,SAC,18/19,14.1,3.5,3.8,0.476,2.7,0,12
Robin Lopez,CHI,18/19,9.5,3.9,1.2,0.268,2.7,0,18
Kyle Anderson,MEM,18/19,8.0,5.8,3.0,0.402,2.7,0,15
Eric Gordon,HOU,18/19,16.2,2.2,1.9,0.646,2.6,0,5
Tristan Thompson,CLE,18/19,10.9,10.2,2.0,0.232,2.6,0,19
Cheick Diallo,NOP,18/19,6.0,5.2,0.5,0.402,2.6,0,15
Gary Harris,DEN,18/19,12.9,2.8,2.2,0.659,2.6,0,4
Willy Hernangómez,CHO,18/19,7.3,5.4,1.0,0.476,2.6,0,12
Jalen Brunson,DAL,18/19,9.3,2.3,3.2,0.402,2.6,0,15
Luke Kennard,DET,18/19,9.7,2.9,1.8,0.5,2.5,0,11
Marco Belinelli,SAS,18/19,10.5,2.5,1.7,0.585,2.5,0,9
Michael Kidd-Gilchrist,CHO,18/19,6.7,3.8,1.0,0.476,2.5,0,12
DeMarcus Cousins,GSW,18/19,16.3,8.2,3.6,0.695,2.4,0,3
Dwyane Wade,MIA,18/19,15.0,4.0,4.2,0.476,2.4,0,12
Norman Powell,TOR,18/19,8.6,2.3,1.5,0.707,2.4,0,2
Seth Curry,POR,18/19,7.9,1.6,0.9,0.646,2.4,0,5
Deron Williams,BRK,12/13,18.9,3.0,7.7,0.598,10.9,0,8
Blake Griffin,LAC,12/13,18.0,8.3,3.7,0.683,10.6,0,5
Mike Conley,MEM,12/13,14.6,2.8,6.1,0.683,9.9,0,5
George Hill,IND,12/13,14.2,3.7,4.7,0.605,9.7,0,7
Serge Ibaka,OKC,12/13,13.2,7.7,0.5,0.732,9.4,0,2
Tyson Chandler,NYK,12/13,10.4,10.7,0.9,0.659,9.3,0,6
David West,IND,12/13,17.1,7.7,2.9,0.605,9.1,0,7
Paul George,IND,12/13,17.4,7.6,4.1,0.605,9.0,0,7
Chris Bosh,MIA,12/13,16.6,6.8,1.7,0.805,9.0,0,1
Brook Lopez,BRK,12/13,19.4,6.9,0.9,0.598,9.0,0,8
Al Horford,ATL,12/13,17.4,10.2,3.2,0.537,8.8,0,11
Tiago Splitter,SAS,12/13,10.3,6.4,1.6,0.707,8.2,0,3
Zach Randolph,MEM,12/13,15.4,11.2,1.4,0.683,7.9,0,5
Kenneth Faried,DEN,12/13,11.5,9.2,1.0,0.695,7.8,0,4
Al Jefferson,UTA,12/13,17.8,9.2,2.1,0.524,7.7,0,12
Paul Millsap,UTA,12/13,14.6,7.1,2.6,0.524,7.6,0,12
Dwight Howard,LAL,12/13,17.1,12.4,1.4,0.549,7.6,0,10
Thaddeus Young,PHI,12/13,14.8,7.5,1.6,0.415,7.4,0,16
Amir Johnson,TOR,12/13,10.0,7.5,1.5,0.415,7.3,0,16
Paul Pierce,BOS,12/13,18.6,6.3,4.8,0.506,7.2,0,13
Danilo Gallinari,DEN,12/13,16.2,5.2,2.5,0.695,7.2,0,4
LaMarcus Aldridge,POR,12/13,21.1,9.1,2.6,0.402,7.2,0,17
Jimmy Butler,CHI,12/13,8.6,4.0,1.4,0.549,7.0,0,10
Kevin Martin,OKC,12/13,14.0,2.3,1.4,0.732,7.0,0,2
Chandler Parsons,HOU,12/13,15.5,5.3,3.5,0.549,7.0,0,10
J.J. Hickson,POR,12/13,12.7,10.4,1.1,0.402,6.9,0,17
Thabo Sefolosha,OKC,12/13,7.6,3.9,1.5,0.732,6.8,0,2
Ersan İlyasova,MIL,12/13,13.2,7.1,1.6,0.463,6.7,0,15
J.R. Smith,NYK,12/13,18.1,5.3,2.7,0.659,6.7,0,6
Nikola Peković,MIN,12/13,16.3,8.8,0.9,0.378,6.7,0,18
Ryan Anderson,NOH,12/13,16.2,6.4,1.2,0.329,6.5,0,21
Kosta Koufos,DEN,12/13,8.0,6.9,0.4,0.695,6.5,0,4
Kyle Korver,ATL,12/13,10.9,4.0,2.0,0.537,6.4,0,11
Luol Deng,CHI,12/13,16.5,6.3,3.0,0.549,6.3,0,10
Martell Webster,WAS,12/13,11.4,3.9,1.9,0.354,6.3,0,19
Matt Barnes,LAC,12/13,10.3,4.6,1.5,0.683,6.3,0,5
Kawhi Leonard,SAS,12/13,11.9,6.0,1.6,0.707,6.2,0,3
Carl Landry,GSW,12/13,10.8,6.0,0.8,0.573,6.2,0,9
DeAndre Jordan,LAC,12/13,8.8,7.2,0.3,0.683,6.2,0,5
Roy Hibbert,IND,12/13,11.9,8.3,1.4,0.605,6.1,0,7
Anthony Davis,NOH,12/13,13.5,8.2,1.0,0.329,6.1,0,21
Jeff Teague,ATL,12/13,14.6,2.2,7.2,0.537,6.1,0,11
Larry Sanders,MIL,12/13,9.8,9.5,1.2,0.463,6.0,0,15
Andrei Kirilenko,MIN,12/13,12.4,5.7,2.8,0.378,6.0,0,18
Vince Carter,DAL,12/13,13.4,4.1,2.4,0.5,6.0,0,14
Greg Monroe,DET,12/13,16.0,9.6,3.5,0.354,5.9,0,19
Nate Robinson,CHI,12/13,13.1,2.2,4.4,0.549,5.9,0,10
Danny Green,SAS,12/13,10.5,3.0,1.8,0.707,5.9,0,3
Damian Lillard,POR,12/13,19.0,3.1,6.5,0.402,5.8,0,17
Brandon Jennings,MIL,12/13,17.5,3.1,6.5,0.463,5.8,0,15
Nicolas Batum,POR,12/13,14.3,5.6,4.9,0.402,5.8,0,17
Goran Dragić,PHO,12/13,14.7,3.1,7.4,0.305,5.7,0,22
Carlos Boozer,CHI,12/13,16.2,9.8,2.3,0.549,5.7,0,10
Nikola Vučević,ORL,12/13,13.1,11.9,1.9,0.244,5.7,0,25
Darren Collison,DAL,12/13,12.0,2.7,5.1,0.5,5.6,0,14
Andre Iguodala,DEN,12/13,13.0,5.3,5.4,0.695,5.6,0,4
Jarrett Jack,GSW,12/13,12.9,3.1,5.6,0.573,5.6,0,9
Kyle Lowry,TOR,12/13,11.6,4.7,6.4,0.415,5.6,0,16
Robin Lopez,NOH,12/13,11.3,5.6,0.8,0.329,5.6,0,21
Ömer Aşık,HOU,12/13,10.1,11.7,0.9,0.549,5.5,0,10
Lance Stephenson,IND,12/13,8.8,3.9,2.9,0.605,5.5,0,7
Jeremy Lin,HOU,12/13,13.4,3.0,6.1,0.549,5.4,0,10
Jason Kidd,NYK,12/13,6.0,4.2,3.3,0.659,5.4,0,6
Gordon Hayward,UTA,12/13,14.1,3.1,3.0,0.524,5.4,0,12
Jamal Crawford,LAC,12/13,16.5,1.7,2.5,0.683,5.4,0,5
Andre Miller,DEN,12/13,9.6,2.9,5.9,0.695,5.4,0,4
Ray Allen,MIA,12/13,10.9,2.7,1.7,0.805,5.4,0,1
Shawn Marion,DAL,12/13,12.1,7.8,2.4,0.5,5.3,0,14
Kyrie Irving,CLE,12/13,22.5,3.7,5.9,0.293,5.3,0,23
Tristan Thompson,CLE,12/13,11.7,9.4,1.3,0.293,5.2,0,23
Nick Collison,OKC,12/13,5.1,4.1,1.5,0.732,5.2,0,2
Mario Chalmers,MIA,12/13,8.6,2.2,3.5,0.805,5.2,0,1
Tony Allen,MEM,12/13,8.9,4.6,1.2,0.683,5.1,0,5
Joe Johnson,BRK,12/13,16.2,3.0,3.5,0.598,5.1,0,8
Isaiah Thomas,SAC,12/13,13.9,2.0,4.0,0.341,5.0,0,20
Dirk Nowitzki,DAL,12/13,17.3,6.8,2.5,0.5,5.0,0,14
Andray Blatche,BRK,12/13,10.3,5.1,1.0,0.598,4.9,0,8
Dorell Wright,PHI,12/13,9.2,3.8,1.9,0.415,4.9,0,16
JaVale McGee,DEN,12/13,9.1,4.8,0.3,0.695,4.9,0,4
Jared Dudley,PHO,12/13,10.9,3.1,2.6,0.305,4.8,0,22
Kemba Walker,CHO,12/13,17.7,3.5,5.7,0.256,4.8,0,24
Brandon Bass,BOS,12/13,8.7,5.2,1.0,0.506,4.7,0,13
DeMar DeRozan,TOR,12/13,18.1,3.9,2.5,0.415,4.7,0,16
Jeff Green,BOS,12/13,12.8,3.9,1.6,0.506,4.7,0,13
Wesley Matthews,POR,12/13,14.8,2.8,2.5,0.402,4.7,0,17
Monta Ellis,MIL,12/13,19.2,3.9,6.0,0.463,4.6,0,15
Metta World Peace,LAL,12/13,12.4,5.0,1.5,0.549,4.6,0,10
Manu Ginóbili,SAS,12/13,11.8,3.4,4.6,0.707,4.5,0,3
John Wall,WAS,12/13,18.5,4.0,7.6,0.354,4.5,0,19
Spencer Hawes,PHI,12/13,11.0,7.2,2.2,0.415,4.5,0,16
Emeka Okafor,WAS,12/13,9.7,8.8,1.2,0.354,4.5,0,19
Andre Drummond,DET,12/13,7.9,7.6,0.5,0.354,4.5,0,19
Shane Battier,MIA,12/13,6.6,2.3,1.0,0.805,4.4,0,1
Boris Diaw,SAS,12/13,5.8,3.4,2.4,0.707,4.4,0,3
Tyreke Evans,SAC,12/13,15.2,4.4,3.5,0.341,4.4,0,20
Mike Dunleavy,MIL,12/13,10.5,3.9,1.9,0.463,4.4,0,15
DeMarcus Cousins,SAC,12/13,17.1,9.9,2.7,0.341,4.4,0,20
Tyler Hansbrough,IND,12/13,7.0,4.6,0.4,0.605,4.4,0,7
Derrick Favors,UTA,12/13,9.4,7.1,1.0,0.524,4.4,0,12
Luis Scola,PHO,12/13,12.8,6.6,2.2,0.305,4.4,0,22
Luke Ridnour,MIN,12/13,11.5,2.5,3.8,0.378,4.3,0,18
Reggie Evans,BRK,12/13,4.5,11.1,0.5,0.598,4.3,0,8
Klay Thompson,GSW,12/13,16.6,3.7,2.2,0.573,4.3,0,9
Antawn Jamison,LAL,12/13,9.4,4.8,0.7,0.549,4.3,0,10
Steve Nash,LAL,12/13,12.7,2.8,6.7,0.549,4.3,0,10
Josh Smith,ATL,12/13,17.5,8.4,4.2,0.537,4.2,0,11
Raymond Felton,NYK,12/13,13.9,2.9,5.5,0.659,4.2,0,6
O.J. Mayo,DAL,12/13,15.3,3.5,4.4,0.5,4.2,0,14
Brandan Wright,DAL,12/13,8.5,4.1,0.6,0.5,4.1,0,14
Nenê,WAS,12/13,12.6,6.7,2.9,0.354,4.0,0,19
Jason Terry,BOS,12/13,10.1,2.0,2.5,0.506,4.0,0,13
Greg Smith,HOU,12/13,6.0,4.6,0.4,0.549,4.0,0,10
Jerryd Bayless,MEM,12/13,8.7,2.2,3.3,0.683,4.0,0,5
Steve Novak,NYK,12/13,6.6,1.9,0.4,0.659,4.0,0,6
Jonas Valančiūnas,TOR,12/13,8.9,6.0,0.7,0.415,3.9,0,16
Corey Brewer,DEN,12/13,12.1,2.9,1.5,0.695,3.9,0,4
C.J. Watson,BRK,12/13,6.8,1.8,2.0,0.598,3.8,0,8
Greivis Vásquez,NOH,12/13,13.9,4.3,9.0,0.329,3.8,0,21
Randy Foye,UTA,12/13,10.8,1.5,2.0,0.524,3.7,0,12
Eric Bledsoe,LAC,12/13,8.5,3.0,3.1,0.683,3.7,0,5
Pau Gasol,LAL,12/13,13.7,8.6,4.1,0.549,3.7,0,10
Jason Thompson,SAC,12/13,10.9,6.7,1.0,0.341,3.6,0,20
Caron Butler,LAC,12/13,10.4,2.9,1.0,0.683,3.6,0,5
Carlos Delfino,HOU,12/13,10.6,3.3,2.0,0.549,3.5,0,10
Dante Cunningham,MIN,12/13,8.7,5.1,0.8,0.378,3.5,0,18
Elton Brand,DAL,12/13,7.2,6.0,1.0,0.5,3.4,0,14
Marcin Gortat,PHO,12/13,11.1,8.5,1.2,0.305,3.4,0,22
Jrue Holiday,PHI,12/13,17.7,4.2,8.0,0.415,3.3,0,16
Courtney Lee,BOS,12/13,7.8,2.4,1.8,0.506,3.3,0,13
Taj Gibson,CHI,12/13,8.0,5.3,0.9,0.549,3.3,0,10
Devin Harris,ATL,12/13,9.9,2.0,3.4,0.537,3.3,0,11
Gerald Henderson,CHO,12/13,15.5,3.7,2.6,0.256,3.3,0,24
Anderson Varejão,CLE,12/13,14.1,14.4,3.4,0.293,3.3,0,23
Pablo Prigioni,NYK,12/13,3.5,1.8,3.0,0.659,3.2,0,6
Quincy Pondexter,MEM,12/13,6.4,2.2,1.0,0.683,3.2,0,5
Marcus Thornton,SAC,12/13,12.7,2.5,1.3,0.341,3.2,0,20
Rajon Rondo,BOS,12/13,13.7,5.6,11.1,0.506,3.2,0,13
Udonis Haslem,MIA,12/13,3.9,5.4,0.5,0.805,3.2,0,1
Al-Farouq Aminu,NOH,12/13,7.3,7.7,1.4,0.329,3.1,0,21
Chris Wilcox,BOS,12/13,4.2,3.0,0.4,0.506,3.1,0,13
Trevor Ariza,WAS,12/13,9.5,4.8,2.0,0.354,3.1,0,19
Kirk Hinrich,CHI,12/13,7.6,2.6,5.2,0.549,3.1,0,10
Gerald Wallace,BRK,12/13,7.7,4.6,2.6,0.598,3.1,0,8
DeMarre Carroll,UTA,12/13,6.0,2.8,0.9,0.524,3.1,0,12
Wilson Chandler,DEN,12/13,13.0,5.1,1.3,0.695,3.1,0,4
Derrick Williams,MIN,12/13,12.0,5.5,0.6,0.378,3.0,0,18
Ricky Rubio,MIN,12/13,10.7,4.0,7.3,0.378,3.0,0,18
Bradley Beal,WAS,12/13,13.9,3.8,2.4,0.354,3.0,0,19
Marco Belinelli,CHI,12/13,9.6,1.9,2.0,0.549,3.0,0,10
Jodie Meeks,LAL,12/13,7.9,2.2,0.9,0.549,3.0,0,10
P.J. Tucker,PHO,12/13,6.4,4.4,1.4,0.305,2.9,0,22
Ramon Sessions,CHO,12/13,14.4,2.8,3.8,0.256,2.9,0,24
D.J. Augustin,IND,12/13,4.7,1.2,2.2,0.605,2.8,0,7
Harrison Barnes,GSW,12/13,9.2,4.1,1.2,0.573,2.8,0,9
Zaza Pachulia,ATL,12/13,5.9,6.5,1.5,0.537,2.7,0,11
Lamar Odom,LAC,12/13,4.0,5.9,1.7,0.683,2.7,0,5
Amar'e Stoudemire,NYK,12/13,14.2,5.0,0.4,0.659,2.7,0,6
Jared Sullinger,BOS,12/13,6.0,5.9,0.8,0.506,2.7,0,13
Kris Humphries,BRK,12/13,5.8,5.6,0.5,0.598,2.7,0,8
Chris Andersen,MIA,12/13,4.9,4.1,0.4,0.805,2.7,0,1
Ekpe Udoh,MIL,12/13,4.2,3.3,0.6,0.463,2.7,0,15
C.J. Miles,CLE,12/13,11.2,2.7,1.0,0.293,2.6,0,23
Mike Miller,MIA,12/13,4.8,2.7,1.7,0.805,2.6,0,1
Willie Green,LAC,12/13,6.2,1.3,0.8,0.683,2.5,0,5
Kendrick Perkins,OKC,12/13,4.2,6.0,1.4,0.732,2.5,0,2
Matt Bonner,SAS,12/13,4.2,1.9,0.5,0.707,2.5,0,3
Reggie Jackson,OKC,12/13,5.3,2.4,1.7,0.732,2.5,0,2
Lavoy Allen,PHI,12/13,5.8,5.0,0.9,0.415,2.5,0,16
Rodney Stuckey,DET,12/13,11.5,2.8,3.6,0.354,2.5,0,19
Maurice Harkless,ORL,12/13,8.2,4.4,0.7,0.244,2.4,0,25
Meyers Leonard,POR,12/13,5.5,3.7,0.5,0.402,2.4,0,17
Lou Williams,ATL,12/13,14.1,2.1,3.6,0.537,2.4,0,11
Steve Blake,LAL,12/13,7.3,2.9,3.8,0.549,2.4,0,10
Pau Gasol,LAL,10/11,18.8,10.2,3.3,0.695,14.7,0,4
Paul Pierce,BOS,10/11,18.9,5.4,3.2,0.683,11.6,0,5
Kevin Love,MIN,10/11,20.2,15.2,2.5,0.207,11.4,0,27
LaMarcus Aldridge,POR,10/11,21.8,8.8,2.1,0.585,11.1,0,9
Zach Randolph,MEM,10/11,20.1,12.2,2.2,0.561,10.5,0,10
Chris Bosh,MIA,10/11,18.7,8.3,1.9,0.707,10.3,0,3
Lamar Odom,LAL,10/11,14.4,8.7,3.0,0.695,10.1,0,4
Al Horford,ATL,10/11,15.3,9.3,3.5,0.537,10.1,0,11
Ray Allen,BOS,10/11,16.5,3.4,2.7,0.683,10.0,0,5
Luol Deng,CHI,10/11,17.4,5.8,2.8,0.756,9.9,0,1
Nenê,DEN,10/11,14.5,7.6,2.0,0.61,9.6,0,8
Kevin Martin,HOU,10/11,23.4,3.2,2.5,0.524,9.5,0,12
Elton Brand,PHI,10/11,15.0,8.3,1.5,0.5,9.4,0,14
Russell Westbrook,OKC,10/11,21.9,4.6,8.2,0.671,9.4,0,6
Tyson Chandler,DAL,10/11,10.1,9.4,0.4,0.695,9.4,0,4
Kevin Garnett,BOS,10/11,14.9,8.9,2.4,0.683,9.0,0,5
Steve Nash,PHO,10/11,14.7,3.5,11.4,0.488,7.9,0,15
Marc Gasol,MEM,10/11,11.7,7.0,2.5,0.561,7.9,0,10
Al Jefferson,UTA,10/11,18.6,9.7,1.8,0.476,7.8,0,16
David West,NOH,10/11,18.9,7.6,2.3,0.561,7.8,0,10
Paul Millsap,UTA,10/11,17.3,7.6,2.5,0.476,7.7,0,16
Tim Duncan,SAS,10/11,13.4,8.9,2.7,0.744,7.7,0,2
Serge Ibaka,OKC,10/11,9.9,7.6,0.3,0.671,7.6,0,6
Wesley Matthews,POR,10/11,15.9,3.1,2.0,0.585,7.2,0,9
Beno Udrih,SAC,10/11,13.7,3.4,4.9,0.293,7.2,0,23
James Harden,OKC,10/11,12.2,3.1,2.1,0.671,7.1,0,6
Andre Miller,POR,10/11,12.7,3.7,7.0,0.585,7.0,0,9
Kyle Lowry,HOU,10/11,13.5,4.1,6.7,0.524,7.0,0,12
Danny Granger,IND,10/11,20.5,5.4,2.6,0.451,6.9,0,17
Joakim Noah,CHI,10/11,11.7,10.4,2.2,0.756,6.7,0,1
Andre Iguodala,PHI,10/11,14.1,5.8,6.3,0.5,6.7,0,14
Ty Lawson,DEN,10/11,11.7,2.6,4.7,0.61,6.7,0,8
Mike Conley,MEM,10/11,13.7,3.0,6.5,0.561,6.6,0,10
Stephen Curry,GSW,10/11,18.6,3.9,5.8,0.439,6.6,0,18
Nicolas Batum,POR,10/11,12.4,4.5,1.5,0.585,6.6,0,9
Greg Monroe,DET,10/11,9.4,7.5,1.3,0.366,6.6,0,22
Jameer Nelson,ORL,10/11,13.1,3.0,6.0,0.634,6.6,0,7
Andrew Bynum,LAL,10/11,11.3,9.4,1.4,0.695,6.6,0,4
Emeka Okafor,NOH,10/11,10.3,9.5,0.6,0.561,6.5,0,10
Jason Kidd,DAL,10/11,7.9,4.4,8.2,0.695,6.4,0,4
Ryan Anderson,ORL,10/11,10.6,5.5,0.8,0.634,6.4,0,7
Josh Smith,ATL,10/11,16.5,8.5,3.3,0.537,6.4,0,11
Chuck Hayes,HOU,10/11,7.9,8.1,2.7,0.524,6.3,0,12
Brook Lopez,NJN,10/11,20.4,6.0,1.6,0.293,6.3,0,23
Brandon Bass,ORL,10/11,11.2,5.6,0.8,0.634,6.3,0,7
Arron Afflalo,DEN,10/11,12.6,3.6,2.4,0.61,6.2,0,8
D.J. Augustin,CHO,10/11,14.4,2.7,6.1,0.415,6.2,0,20
Thaddeus Young,PHI,10/11,12.7,5.3,1.0,0.5,6.2,0,14
George Hill,SAS,10/11,11.6,2.6,2.5,0.744,6.1,0,2
David Lee,GSW,10/11,16.5,9.8,3.2,0.439,6.0,0,18
Monta Ellis,GSW,10/11,24.1,3.5,5.6,0.439,6.0,0,18
Richard Jefferson,SAS,10/11,11.0,3.8,1.3,0.744,5.9,0,2
Carlos Boozer,CHI,10/11,17.5,9.6,2.5,0.756,5.8,0,1
Dorell Wright,GSW,10/11,16.4,5.3,3.0,0.439,5.8,0,18
Jrue Holiday,PHI,10/11,14.0,4.0,6.5,0.5,5.7,0,14
Shawn Marion,DAL,10/11,12.5,6.9,1.4,0.695,5.6,0,4
Amir Johnson,TOR,10/11,9.6,6.4,1.1,0.268,5.6,0,25
Jared Dudley,PHO,10/11,10.6,3.9,1.3,0.488,5.6,0,15
Luis Scola,HOU,10/11,18.3,8.2,2.5,0.524,5.5,0,12
Rudy Gay,MEM,10/11,19.8,6.2,2.8,0.561,5.5,0,10
Ronnie Brewer,CHI,10/11,6.2,3.2,1.7,0.756,5.4,0,1
Andrew Bogut,MIL,10/11,12.8,11.1,2.0,0.427,5.4,0,19
Kris Humphries,NJN,10/11,10.0,10.4,1.1,0.293,5.4,0,23
Jason Terry,DAL,10/11,15.8,1.9,4.1,0.695,5.3,0,4
Eric Gordon,LAC,10/11,22.3,2.9,4.4,0.39,5.3,0,21
Landry Fields,NYK,10/11,9.7,6.4,1.9,0.512,5.3,0,13
JaVale McGee,WAS,10/11,10.1,8.0,0.5,0.28,5.3,0,24
DeAndre Jordan,LAC,10/11,7.1,7.2,0.5,0.39,5.2,0,21
Taj Gibson,CHI,10/11,7.1,5.7,0.7,0.756,5.2,0,1
Lou Williams,PHI,10/11,13.7,2.0,3.4,0.5,5.1,0,14
Jodie Meeks,PHI,10/11,10.5,2.3,1.1,0.5,5.1,0,14
Kyle Korver,CHI,10/11,8.3,1.8,1.5,0.756,5.1,0,1
Rodney Stuckey,DET,10/11,15.5,3.1,5.2,0.366,5.0,0,22
J.R. Smith,DEN,10/11,12.3,4.1,2.2,0.61,5.0,0,8
Glen Davis,BOS,10/11,11.7,5.4,1.2,0.683,4.9,0,5
Josh McRoberts,IND,10/11,7.4,5.3,2.1,0.451,4.9,0,17
Boris Diaw,CHO,10/11,11.3,5.0,4.1,0.415,4.8,0,20
DeJuan Blair,SAS,10/11,8.3,7.0,1.0,0.744,4.8,0,2
Luc Mbah a Moute,MIL,10/11,6.7,5.3,0.9,0.427,4.8,0,19
Channing Frye,PHO,10/11,12.7,6.7,1.2,0.488,4.7,0,15
Tony Allen,MEM,10/11,8.9,2.7,1.4,0.561,4.7,0,10
James Jones,MIA,10/11,5.9,2.0,0.5,0.707,4.7,0,3
Andrei Kirilenko,UTA,10/11,11.7,5.1,3.0,0.476,4.5,0,16
Mike Dunleavy,IND,10/11,11.2,4.5,1.7,0.451,4.5,0,17
JJ Redick,ORL,10/11,10.1,1.9,1.7,0.634,4.5,0,7
Metta World Peace,LAL,10/11,8.5,3.3,2.1,0.695,4.4,0,4
Ramon Sessions,CLE,10/11,13.3,3.1,5.2,0.232,4.4,0,26
Matt Bonner,SAS,10/11,7.3,3.6,0.9,0.744,4.4,0,2
Grant Hill,PHO,10/11,13.2,4.2,2.5,0.488,4.4,0,15
