Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
75;Amir Johnson;5;2016-17;29;BOS;80;77;0;5;121;107;2.9;2.1;0.149;-0.7;1.3;0.6;1.1;15;8.3;17;12.7;13;1.6;3.2;15.7;13.6;F-C;johnsam01
76;Brook Lopez;4.9;2016-17;28;BRK;75;75;0;4.9;108;111;3.1;1.8;0.105;2.9;-0.6;2.3;2.4;20.4;5.8;13.3;9.6;14.8;0.8;4.2;12.1;29.2;C;lopezbr01
77;JJ Redick;4.8;2016-17;32;LAC;78;78;0;4.8;113;112;3.3;1.5;0.105;1.6;-1.2;0.4;1.4;14.8;0.6;7.9;4.4;7.8;1.2;0.5;9.1;22;G;redicjj01
78;Tim Hardaway Jr.;4.8;2016-17;24;ATL;79;30;0;4.8;110;109;2.7;2.1;0.107;1;-0.4;0.5;1.4;15.2;1.8;9.5;5.7;14.3;1.3;0.6;9.5;22.5;G;hardati02
79;Carmelo Anthony;4.7;2016-17;32;NYK;74;74;1;4.7;108;113;3.2;1.5;0.089;2.3;-1.6;0.7;1.7;17.9;2.6;16;9.3;14.5;1.2;1.1;9;29.1;F;anthoca01
80;Zaza Pachulia;4.7;2016-17;32;GSW;70;70;0;4.7;118;101;2.3;2.5;0.178;-1.1;1.6;0.6;0.8;16.1;12.9;22;17.7;13.6;2.2;2;19.4;15.3;C;pachuza01
81;Thaddeus Young;4.6;2016-17;28;IND;74;74;0;4.6;109;107;2;2.7;0.1;-0.3;0.8;0.5;1.4;14.9;6.7;15.7;11.2;8.4;2.5;1.1;11.6;16.4;F;youngth01
82;Seth Curry;4.6;2016-17;26;DAL;70;42;0;4.6;113;110;2.9;1.7;0.11;0.8;0.4;1.2;1.7;15.5;1.4;9.3;5.1;16;2;0.3;11;19.5;G;curryse01
83;Gary Harris;4.6;2016-17;22;DEN;57;56;0;4.6;121;114;3.9;0.7;0.124;1.5;-0.9;0.7;1.2;16.5;3;8;5.5;13.6;1.9;0.3;9.8;18.4;G;harriga01
84;Dwight Powell;4.6;2016-17;25;DAL;77;3;0;4.6;120;105;2.7;1.9;0.165;-0.1;1.1;1;1;17.6;7.7;19.5;13.3;6.1;2.4;2.6;7.2;16.7;F-C;poweldw01
85;Harrison Barnes;4.6;2016-17;24;DAL;79;79;0;4.6;106;111;2.5;2.1;0.078;0.4;-1.2;-0.8;0.8;16.3;3.7;13.1;8.2;7.7;1.2;0.5;6.8;25.3;F;barneha02
86;Nicolas Batum;4.6;2016-17;28;CHO;77;77;0;4.6;105;108;1.7;2.8;0.084;0.6;0.2;0.8;1.9;15.8;1.9;18.4;10.1;27.7;1.6;1;15;22.3;F-G;batumni01
87;Kenneth Faried;4.5;2016-17;27;DEN;61;34;0;4.5;123;110;3.3;1.2;0.168;1.5;-1.2;0.3;0.7;20.3;15.8;23.6;19.7;6.3;1.6;2.4;10.6;18.3;F-C;farieke01
88;Kentavious Caldwell-Pope;4.5;2016-17;23;DET;76;75;0;4.5;107;109;2;2.5;0.086;-0.6;0.4;-0.2;1.1;12.8;2.3;8.7;5.3;11.2;1.8;0.4;7.9;19.2;G;caldwke01
89;Jon Leuer;4.5;2016-17;27;DET;75;34;0;4.5;113;109;2.5;2;0.112;-0.4;0.3;-0.1;1;14.2;5.5;17.5;11.3;8.6;0.8;1.1;8.7;17.3;F;leuerjo01
90;Kristaps Porziņģis;4.5;2016-17;21;NYK;66;65;0;4.5;108;109;2.4;2.1;0.1;0.7;-0.3;0.3;1.3;17.4;5.5;18.2;11.8;7.3;1.1;4.9;9.7;24.3;F-C;porzikr01
91;Elfrid Payton;4.4;2016-17;22;ORL;82;58;0;4.4;107;111;2.4;2;0.088;0.8;0;0.8;1.7;17.2;3.9;13.9;8.7;35.7;1.8;1.3;15;21.6;G;paytoel01
92;Robin Lopez;4.3;2016-17;28;CHI;81;81;0;4.3;108;108;1.8;2.4;0.09;-1.4;-0.8;-2.2;-0.1;14.4;11.5;13.2;12.3;5.6;0.4;4.1;10;17.5;C;lopezro01
93;Andre Roberson;4.2;2016-17;25;OKC;79;79;0;4.2;108;106;1.1;3.1;0.085;-2.5;1.4;-1;0.6;9.6;4.6;14.2;9.4;4.6;1.9;2.7;9.1;10.1;G-F;roberan03
94;Maurice Harkless;4.2;2016-17;23;POR;77;69;0;4.2;112;110;2.3;1.9;0.091;-0.8;0.1;-0.6;0.8;13.1;6.2;10.8;8.5;5.9;1.9;2.5;11.2;15.2;F-G;harklma01
95;Courtney Lee;4.2;2016-17;31;NYK;77;74;0;4.2;115;114;3.1;1.1;0.081;-0.7;-0.2;-0.9;0.7;12.2;2.3;9;5.7;10.6;1.6;0.8;8.5;14.4;G;leeco01
96;Andrew Wiggins;4.2;2016-17;21;MIN;82;82;0;4.2;107;115;3.3;0.9;0.066;0.7;-2.4;-1.7;0.2;16.5;3.8;8.8;6.3;10.6;1.4;0.8;9.4;29;F-G;wiggian01
97;Allen Crabbe;4.2;2016-17;24;POR;79;7;0;4.2;117;114;3.1;1;0.089;-0.7;-0.6;-1.3;0.4;11.6;0.9;10.2;5.6;6.1;1.2;0.7;8.1;14.9;G-F;crabbal01
