;;;;;;;;;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;;;;;;;;;96;Anthony Davis;4.5;2021-22;28;LAL;40;40;0;4.5;115;109;2.6;2;0.155;2.6;1.2;3.8;2;23.9;8.1;22;15.1;14.7;1.7;5.7;9.3;27.1;F-C;davisan02
;;;;;;;;;;;;;;97;Nikola Vučević;4.5;2021-22;31;CHI;73;73;0;4.5;107;110;1.4;3.2;0.09;0.8;0.1;0.9;1.8;18.2;6.6;30.7;18.7;15.2;1.4;2.5;10.1;24.5;C;vucevni01
;;;;;;;;;;;;;;98;Luke Kennard;4.5;2021-22;25;LAC;70;13;0;4.5;119;113;2.8;1.7;0.113;0.8;-0.3;0.5;1.2;13.3;1.1;11.2;6.3;11.2;1.1;0.3;8.2;16.8;G;kennalu01
;;;;;;;;;;;;;;99;Mo Bamba;4.5;2021-22;23;ORL;71;69;0;4.5;113;108;1.8;2.7;0.118;-0.2;0.9;0.7;1.2;16.5;8.5;24.6;16.5;7.4;1;5.9;10.6;17.2;C;bambamo01
;;;;;;;;;;;;;;100;Pat Connaughton;4.4;2021-22;29;MIL;65;19;0;4.4;124;113;2.8;1.6;0.125;0.8;0.3;1.2;1.4;13.4;2.9;14;8.6;6.6;1.7;0.9;6.3;14;G;connapa01
;;;;;;;;;;;;;;101;Javonte Green;4.4;2021-22;28;CHI;65;45;0;4.4;131;112;2.9;1.5;0.139;-0.6;0.7;0.1;0.8;14;6.8;13.6;10.2;5.3;2.2;1.8;7.6;11.5;F;greenja02
;;;;;;;;;;;;;;102;D'Angelo Russell;4.4;2021-22;25;MIN;65;65;0;4.4;112;115;2.9;1.5;0.101;2.2;-1.5;0.8;1.4;16.3;1.3;10.1;5.6;33.1;1.4;1;13.2;25.1;G;russeda01
;;;;;;;;;;;;;;103;Josh Hart;4.4;2021-22;26;NOPPOR;54;53;0;4.4;117;113;2.8;1.5;0.117;0.5;0.5;0.9;1.3;16.1;3.7;20.7;12;18.9;1.7;0.7;14.7;18.6;G;hartjo01
;;;;;;;;;;;;;;104;Jae Crowder;4.3;2021-22;31;PHO;67;67;0;4.3;109;105;0.9;3.4;0.11;-1.3;2.4;1.1;1.5;11.3;1.8;18;10.1;8.3;2.4;1.4;8.6;14.6;F;crowdja01
;;;;;;;;;;;;;;105;Anthony Edwards;4.3;2021-22;20;MIN;72;72;0;4.3;108;112;1.8;2.4;0.084;1.6;-0.4;1.2;2;16.5;2.6;12.5;7.5;17.4;2;1.8;12.2;26.4;G-F;edwaran01
;;;;;;;;;;;;;;106;Isaac Okoro;4.2;2021-22;21;CLE;67;61;0;4.2;120;113;2.4;1.9;0.103;-2.4;0.7;-1.7;0.1;10.4;4.1;7.1;5.6;8.5;1.4;1;10.4;12.4;G-F;okorois01
;;;;;;;;;;;;;;107;Immanuel Quickley;4.2;2021-22;22;NYK;78;3;0;4.2;114;112;2.5;1.8;0.113;0.2;0;0.2;1;14.6;1.8;13.1;7.4;24.5;1.5;0.2;10.9;22.2;G;quickim01
